...1,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,post_release,usage_pk
16,usag(e_1-6,S-4ad.7b1,1970-01-20,NA,8,NA,1,FALSE ,NA,id&-jNEViN
17,usa#ge_@1^7,S-7d4d_45,1970-01-20,feature_6,4,1210,0,TRUE,NA,id-QXyHyx 
18,us!a+ge_18,S-!74be40,1970-01-20,feature_23 ,NA,1296,1 ,FALSE,FALSE,id-(f.qbGsU
19,us)a.ge_19 ,^S-5480a7,1970-01-20,feature%_32,17,6474,1 ,FALSE,NA,.id--&drF&GHP
20,usage_2-0,S%-a3cbd4 ,1970-01-20,fe+a_ture+_1,15,10175,0,FALSE,FALSE,id-B-raUTQ
21,us+age_21,S-149%40^9,1970-01-20,feature_11,8,4202,1,FALSE ,FALSE,id-CjY&Bo+P
22,usage_2*2,NA,1970-01-20,fe&at%ur^e_)38,5,442,NA,FALSE,FALSE,NA
23,usage_23,S-66f0d0,1970-01-20,(featur&e_33,17,2456,0,NA,FALSE,id-oE@XOUp
24,usage_24 ,S-bb1cf.1,1970-01-21,feature_31,11,4100,0,FALSE,NA,id-OYvzcT
25 ,NA,S-606d_6d,1970-01-20,NA,10,1155,2,FALSE,FALSE,id-PUyq@Ef
26,NA,+S-+cf&b886,1970-01-20,fe*ature_$31,8,367,NA,FALSE,FALSE,id-YNfQqq
27,us-age_27,NA,1970-01-20,NA,10 ,3099,3 ,false,false,id-*zcsjqe
28,U_SAGE*_28,S-%97DF3F,1970-01-20,FEATURE_8,11,4736,0,FALSE,FALSE,ID^-NUVXIT
29,usage_29,S-14b7f3,1970-01-21,NA,11,7904,0,NA,FALSE,@id-LnwaiO 
30,(usage_30,S-09c1df ,1970-01-20,fe^at^ure_28,NA,NA,1,FALSE,FALSE,id-aUnWGW
31,u$sag+e_31,S-7bcd95,NA,feature_15,7,3501,0,FALSE,FALSE,id-fx-jKSP
32,us-age_3#2,S-eaa2c2 ,1970-01-20,f)e.a*ture_*19,13,3906,1,NA,FALSE,id-XghxjY
33,usage_33,NA,1970-01-20,NA,14,1436,0,FALSE,FALSE,id-YqN*HNR
34,USAGE_34,S-5C3F50 ,1970-01-20,NA,9,2838,0,FALSE ,FALSE,ID-AQUHMH
35,usage._35 ,S-34#3642,1970-01-20,feature_21,10,6568 ,0,FALSE,FALSE,id-%RStBDX
NA,usage_36,S+-*db^e1b3 ,1970-01-20,fe#ature_#35,6,393,0,NA,FALSE,id-zKvHXh
37,usa(ge*_3%7,S-6aa20b,1970-01-20 ,-fe_at*ure_6,NA,1225 ,0,FALSE,FALSE,id-fqgslX
38,USAGE_-38,S-EA5984,1970-01-20 ,FEAT%UR$E_6 ,11,2244,2,FALSE,FALSE,ID-MI@DFOX
NA,usage_39,S-f52_fd6,NA,featur)e+_35,16,7563,0,TRUE,FALSE,id-WjX@jwN
40,*usage_40,%S-8fd696,1970-01-20,NA,8,770,1,FALSE ,FALSE ,id&-%lcGIAF
41,usage._41,S-f2710b,1970-01-20,feature_11,NA,NA,2,FALSE,FALSE,NA
42,NA,S-@76b43f,1970-01-21,feature_1,12,4364,0,FALSE,FALSE,id-eseIgS
NA,NA,s-bd1912,1970-01-20,feature_33,9,4550,0,false,false,id#-v#itqlp
44,usage_44 ,S-71!1820,1970-01-20,(f_eature_-18,NA,7782,NA,NA,FALSE,id-TudTlc
45,usage_45,S-cf44af,NA,NA,9,NA,NA,FALSE,FALSE,id-kahG.IW 
46,usage#_46,S-383fc5,1970-01-21,$feat.ure_3#9,11,1416,NA,FALSE,NA,id-wdqw.Nm
47,NA,NA,1970-01-21,f#eature_26,NA,1996,0 ,TRUE,FALSE,NA
48,!usage_48 ,S-0b059f,1970-01-20,feature_14,22,6591,3,FALSE,FALSE,id-lkIUR-i
49,usage_49,S-9dc%ef8,1970-01-20,feature_29 ,11,4261,4,TRUE,FALSE,id-uJBKut
50,usage_50,S-02b3a1,1970-01-20,feature__37,NA,3257,0,TRUE,FALSE ,id-Tt@zTi@B
51,usage_51,S-4e4ab7 ,1970-01-21,feature+_+2,11,2864,1,FALSE,FALSE,id-NDArrh
52,usage_52,NA,1970-01-20,featur&e_19,9,843,1,FALSE,FALSE,id-juLgxM
53,usage_53,S-597873,1970-01-20,feat(ure_33,8,NA,0,TRUE,FALSE ,i_d-k#wbGNg
54,usage_54,S-2843fe,1970-01-20,feature_31,15,3055,1,FALSE,FALSE,id_-^PIWxpK
NA,!usage_55 ,NA,1970-01-21,feature_6,14,7009,2,FALSE,FALSE,id-VZHgdl
56,usa)g%e_56,S.-ab152e,1970-01-20,feature_12,3,1197,0,FALSE,FALSE,id-ip+rSJY
57,us+age_)57,S-2#223bf,1970-01-20,feature_4,NA,NA,2,FALSE ,FALSE ,id-wrUtcQ 
58,NA,S-5281ee,1970-01-20,f(eatur)e_35,9,465,0,NA,FALSE,id-SuoUdW
59,usage_59,S-79ab7e,1970-01-20,feat^ure_24,11,2611,2,FALSE,FALSE,id-ToGyNP
60,usage_60,S-6ee6c(9,1970-01-20 ,feature_.24,12,7168,4,FALSE,FALSE,id@-QE!Y$BxP
61,NA,S-c_5&3808,NA,feature_6,7,1344 ,0,FALSE,FALSE,id-lEg.z)mr
62,usage_62,.S-4e4ef&4,1970-01-20,feature_25,8,2121 ,0,FALSE,FALSE,id-xHHdQt
63,usa.ge_63,S-d9e0!d1,1970-01-20,NA,8,5032,0,FALSE,FALSE,id-ysKvfX
64,usage_6@4,S-b7f6)57 ,1970-01-20,NA,9,884,0,FALSE,NA,id(-atpeyM
65,NA,S-+07ab-dd,1970-01-20,feature_9,9,635,0,FALSE,FALSE,id-x^I_e@prL
66,u$sage_66,S(-41d.4ca,1970-01-20,feature_14,NA,3866 ,1,FALSE,FALSE,id-eTXnBs
NA,us.age_67,S-a2aa70,1970-01-20,-feature_2&6,9,2102 ,2,FALSE,FALSE,id-Ka.zl_P-b
68,USAGE$_68,S-4E00A0,1970-01-20,FEATURE*_-11,10,2119,0,FALSE,NA,NA
NA,NA,NA,1970-01-20,feature_39 ,NA,7165,1,TRUE,FALSE,id-EfpwFq
70,usage_&70,NA,1970-01-20,feature_6,12,NA,0,FALSE,FALSE ,NA
71,us$age-_71,@S-694aa7,1970-01-20,*featur#e_13,9,399,0,NA,FALSE,-i*d--odVrW-m
72,usage!_72,S_-2ccc04,1970-01-20,fea.ture_1#3,13,801 ,0,FALSE,FALSE,id-rDyMtQ
73,usa_ge_73,s-)c7f2e&5,1970-01-20,featu^re_32,13,NA,1,false ,false,id-ypiqbq
74,$usage_74,S-5a500d,1970-01-20,feature_31,15,4552,0,FALSE,FALSE,id-WVxpuT
75,usage_75,S-c19e74,1970-01-20,feature_21,10,1588,0,FALSE,FALSE,id-VMRuRw
NA,NA,S-0*bdbb$3 ,1970-01-20,feature_36,7,4094,0,FALSE,FALSE,id-yp*aQFv
77,us&a^ge_77 ,S-51924b,1970-01-20,feature$_14,8,3148 ,0,FALSE,FALSE,id-pEGWHH
NA,usage_78,s-eb4b0a,1970-01-21,*feat%ure__25,10 ,1150,0,false,false,id-hetfkw
79,usage_79,S-4f5c9!4,1970-01-20,feature_20,NA,NA,1,TRUE,FALSE,@id-LFa$O@VL
80,us&age_80,S-a67e!83,1970-01-20,feature_2_4,11,NA,0,FALSE,FALSE,NA
81,usage_81,%S-2c9c*ea,1970-01-20,feature_1,11,4019,0,FALSE,FALSE,id-qgDPHQ
NA,us&age_82,S-6aa#20!b,NA,featu_r^e_1,13,9090,NA,FALSE,FALSE,NA
83,usage_83,S-da0c62 ,NA,feature$_13,NA,1600,5,FALSE,NA,id-fq(hzG+Z
84,usage_84 ,S-7d651b,1970-01-20,feature_22 ,13,7439 ,0,FALSE,FALSE,id-jArAGs
85,usag)e_85,S-6d0817,1970-01-20,NA,10,2890,1,FALSE,FALSE,id-rdSeLK
86,^usag-e_86,S-f6@ca@9e,1970-01-20,#feature_*34,10,6126,0,FALSE,FALSE,id-aMtgVN
87,USAGE_87,S-595693,1970-01-20,FEATURE_10,15,6893,0,FALSE,FALSE,ID-GRLKVI
88,usage_88,S-b2b_1b9,1970-01-20,feature_*2@5 ,14,3608,0,FALSE,FALSE ,id-VThJjo
89,usa-ge_89,$S-4977c8,1970-01-20 ,feature_22,7,2314,3,FALSE,FALSE,id-m$vLb(ru
90,us#age_90,S-5da6e7,1970-01-21,%feat(ure_6,12,8103,0,FALSE,FALSE,id-aPytmq
91,usage_91,NA,1970-01-21,+fea#ture_6,10 ,5805 ,0,FALSE,FALSE,id-FpDmii
92,NA,S-!3d0e5c,1970-01-20,feat+ure_16,8,996 ,0,FALSE,FALSE,id-BxgvZu
93 ,usage_93,S-11dba^6,1970-01-20,feature_34,15,6870,2,FALSE,FALSE,id-WEv!ZXE
94,#u_sage_94,S-7bd2d7,1970-01-20 ,featur+e_6,NA,2072,0,FALSE,FALSE,id-gvHUXV
95,NA,S-+f*c8f$09,1970-01-20,NA,16,8305,0,FALSE,FALSE,id-qIToBN
96,NA,S-e41-457,1970-01-20,NA,9,1043 ,0,FALSE,FALSE,id-ipOPiG
97,!usage_97,S-7f92bd,1970-01-20,feat$ure_26,8,2572,3 ,FALSE,FALSE,NA
98,usage_98,S-@3e8283,1970-01-20,f)eature_39,16 ,6083,1 ,NA,FALSE,id-RA%aKp$C
99,$usag&e_99,S-f72b84,1970-01-20,fea@ture_1,10,4308,1,NA,FALSE,id-ABxvYC
100,usage_100 ,S-d3613b ,NA,feature_)40,13,6181 ,0,FALSE,FALSE,-id-AA!u$EYT
101,u_sage_10&1,s-c9e261,1970-01-20,feature_10,11 ,NA,2,false,false,id-bnnjuf
NA,usage_102 ,@s-3bb28f,1970-01-20,feature_16,9,737,3 ,false,false,id-dlyn(j*u
103,usage_10*3 ,S@-a113a2,1970-01-20,feature_16,11 ,NA,0,FALSE,NA,id-sbAyBS
104,US.AGE_104,S-5A2A05,1970-01-20,FEATURE_6,9,1662,NA,FALSE,FALSE,ID-RVQMBM
105,usage_105,S-@1%fabe5 ,1970-01-20,NA,NA,507,0,FALSE,FALSE,id-wbOWkI
106,usage_106,S-f32731,1970-01-20,feature_%13,7,383,0,FALSE,FALSE,id-QQtzSu
107,usage_10-7,S-791c64 ,1970-01-20,featu%re_22,10,1720,0,NA,FALSE,!id-OLmKD^O
108,NA,NA,1970-01-20,feature_4,12,3035,0,FALSE,FALSE,id-lcIF%lK
109,usage&_109,S-180ae3,1970-01-20,feature_39,8,NA,0,FALSE,FALSE,id$-RMc(vAS
110 ,usage_110 ,S-3445f5,1970-01-20,f-eature_16,8,5475,0,FALSE ,NA,id-RFuKHQ
111,us#age_11!1,S-2f138c ,1970-01-20,NA,11 ,4358,0,FALSE,FALSE,id-cH+dhnJ
112,NA,S-012@ab9,1970-01-20,feature_34,11 ,7644,0,FALSE,FALSE,id-RErU&MF
113,usage_113,S-eef0cd,1970-01-20,feature_14,8,4638,NA,NA,FALSE,id-UwIBJS 
NA,usa(ge_114,S-)f0a2e5,1970-01-20,NA,7,242,0,FALSE,FALSE,id-q_nmW*kE
115,usage-_115,S-7077ab,1970-01-20,fe+ature_37,8 ,4774,0,FALSE,FALSE,id-XaYrNu
116,.usage_^1)1.6,S-fd12a3,1970-01-20,featu-re@_28,6,2887,NA,FALSE,FALSE,id--xPO+EYA
117,usage_11+7 ,S-0b80b4,1970-01-20,featu+re_1$4,18,3354 ,2,FALSE,FALSE,id-ULRWKH
118,NA,S-50-5db5,1970-01-20 ,feature_*12,14,4910,NA,FALSE,FALSE,id_-J$EyLLE
119,usage_119,S-951d)e6,1970-01-20,feature_2$7,14,7307,0 ,FALSE,FALSE ,id-C#cEDOG
120,USAG^E_120,S_-F-E2139,1970-01-20,FEAT@URE_27 ,9 ,6758,0,FALSE,FALSE ,ID-W$U)PYHR
121,us-age_121,S*-108caf,1970-01-20,feature_28,11,5465,0,FALSE,FALSE,id-kuValW
122,usage_122,S-93ab-2d,1970-01-20,NA,10 ,5714,3,TRUE,FALSE,id-giP$kZT
NA,usage_123,NA,1970-01-20,feature_2,9,4855,0,FALSE,NA,id-VgFVUX
124,usage_124,NA,1970-01-20,featu@re_28,11,2020,0,NA,FALSE,id-mWckPU
125,usage_125,NA,1970-01-20,feat@ur#e_27,NA,575,2,TRUE,FALSE,id-ilwold
126,u^sage_126,S-2923^fc,1970-01-20,feature_7,10,1839 ,2,FALSE,FALSE,id-+kkgpJT
127,usag$e_127,S-012ab9,1970-01-20,feature_19,7,2075,0,FALSE,FALSE,id-NwV!PwL
128,us+age_128,NA,1970-01-20 ,feature_3,10,817,0,FALSE,FALSE ,id-*kOF^gU+s
129,u!sa!ge_@129,S-71cefe,1970-01-20,featu*re_!13,NA,675,0 ,FALSE ,FALSE,id@-uDT-UGL
130,usage_130,NA,1970-01-20,feature_15,NA,3919,0,NA,false,i-d-jlh%foa 
131,usage_131,S#-d57a67 ,1970-01-20,$feature_7,14,1718 ,0,NA,FALSE,id-fhW(FRa
132,usa_ge_132 ,S-a9_ca9b,1970-01-20,feature_40,12,1400 ,1,FALSE,FALSE,id-IjoMke
133,usage_133,S-515485,1970-01-20,fe(atu#re$_16 ,NA,NA,NA,FALSE ,FALSE,i)d(-CyudaF
134,u@sage_134,S-3cae3d,1970-01-20 ,#f_eature_28,12,6604 ,0,FALSE,FALSE,i)d-I*DrYQf
135,usage_135,S-882f1d,1970-01-20 ,f_eatur.e_1+3,12,4570,NA,NA,FALSE,$id#-jLLBrt
136,USAGE_136 ,NA,1970-01-20,FEATURE_2*0,6,1444,0,FALSE,FALSE,ID-G-X^DM^AH 
137 ,%usag#e_137,S-096835,1970-01-20,f!eature_38,12,8457,0 ,FALSE,FALSE,id-QpbR*gs
138,-u.sage^_138,S--f9e2_ca,1970-01-20,feature_27,17 ,8605,0,TRUE,FALSE,id-qiuYDl
139,usag$e_139,S+-fc65aa,1970-01-20,feature_8,12,3107,0,FALSE,FALSE ,id-zLlbWq
140,usage_140,S-3d8c2f,1970-01-20,f.eature!_25,11,4114,NA,FALSE,FALSE,id-DOpyac
141,(us+age_141,S-a0+e1dc,1970-01-20,feature_16,NA,2826,NA,FALSE,FALSE,NA
142,u*sage_142,S-0c03b0,1970-01-21 ,feature_37 ,11,5697,0,FALSE,FALSE,)id--TCrAW@Z
143,usa$ge_@143,)S^-ccd04#5,1970-01-20,feature_3,NA,3283,0,FALSE,FALSE,id-UD-JoSV
144,us^age_144,S-b33593,1970-01-20,feature_6,11,1699 ,0,FALSE,FALSE,id-r+kwdC#y
NA,usa(g.e_145,S-ce0d60,1970-01-20,!feature_31,12,4921,0,FALSE,FALSE,id-(C#XkVfF
NA,NA,S-e6ad38,1970-01-21 ,fea)ture_23,9,2328,1,FALSE,FALSE,i)d-eTc$yup
147,us@age_147,S-!018501,1970-01-20,feature_18,8,569,0 ,FALSE ,NA,id-*palj@nN
148,usage_1@48,S--d9f26e,1970-01-20,fe*atu!re_30,11,2994 ,0,FALSE,NA,id-xREULU
149,usage_149 ,S-e6b#450,1970-01-20,feature_10,7,1208,0,FALSE,FALSE,id-_X+HfNEG
150,usage_15(0 ,S%-a84c82,1970-01-20,+feature_34,11,3424 ,0 ,FALSE,FALSE,id-QQthHS
151,!us.age_151,S-579a24,1970-01-20,fe(atu@re%_17,10 ,3105,0,FALSE,FALSE,id-yUgtTk
NA,NA,-S-dd1d46,1970-01-20,feature_ne&w_ai,6,403,NA,FALSE ,FALSE,id-WRzpHC 
153,usage_153,NA,1970-01-20,-feature_17,3,NA,1,FALSE,NA,id-rzWqEU 
154,usage_154,S-5f30ce ,1970-01-20,feature_&20,12,7462 ,0,FALSE,NA,id-AKdBO_k
155,usage_155,S-e9(64b6,1970-01-20 ,NA,9,4627,0,FALSE ,FALSE,id-KcMiRT
156,u%sage_156,@S-027102 ,1970-01-20,NA,6,4525,2,FALSE,FALSE,)id-IVzBNl
157 ,u&sa!ge_157,NA,1970-01-20,featu_re_2^0,16,4257 ,1,FALSE,FALSE,id-l.NmC!Wd
158,$usage_158,S-1*9(8d_be,1970-01-20,fe+atu!r(e_24,14,1609,0,FALSE,FALSE,NA
159,_usa-ge_159,S-6f43f7,1970-01-21,f#eature_2,12,2416,0,FALSE,FALSE,id-ZSmsGQ
160,NA,S-ac6f24,1970-01-20,fe.a)t@ure_17,16 ,4405,0,TRUE,FALSE,id.-rZF#mu+C
161,usage_161,S)-fdb&8f1,1970-01-20,f+eature@_30,6,2472,2,FALSE,FALSE,id-jb)MGj$l
162,USAGE_162,S&-C5BEC0,NA,F!EATURE_8,9,1724,0,FALSE,FALSE,+ID-GXRRYA
163,*usage_1.63,s-c6!3$e51,1970-01-20,featu.re_36,10,4149,0,false,false,id-ymhmak
NA,usage*_164,S-c069^ab,1970-01-20,feature_3,4,2025,0 ,FALSE,FALSE,id-WSfh%Ab
165,usage_1_6(5,NA,1970-01-20,*feature_2+9,16,2753 ,0,TRUE,FALSE,)id-$ATXbrO
166,usage_166,NA,1970-01-20,feature_11 ,11 ,1577,3,FALSE,FALSE,NA
167,usage_167,S-5fffe8,1970-01-20,&feature_1$7,5,2358,0,FALSE,FALSE,id-OqgUIM
168,u^sage_#168,S-47ce2@d,1970-01-20,feature_24,7,1137,0,FALSE,FALSE,id-FuQKFu
169,usag*e_16.9,S-7783%07,1970-01-20,%feature_13,14,3666 ,0,FALSE,FALSE,NA
170,usage_170,S-c15f06,1970-01-20,fea@ture_&1!9,13,3282,0,FALSE,FALSE,id-gwDAoK
171,NA,S(-d!7163c,1970-01-20,feature_)9,14,7224,0,FALSE,FALSE,id-Qze)DWY 
172,usage_172,S-0eb2e0 ,1970-01-20 ,feature_38,6,1747,NA,NA,FALSE,id-pFkAmO
173,NA,S-_cb100e,1970-01-20,feature_10 ,12,1336,1,FALSE,FALSE,id-ROiDJB
174,us(age_174,S-ad.31b0,1970-01-20,fea+ture_27,10 ,3049,0,FALSE,FALSE,id-$JHzDrB
175,u(sage_175,S-e92512,1970-01-20,f+eat$ure_28,9,2908,0,FALSE,FALSE,id-+FN_o(co_B
176,usage_176,S-004eb4,1970-01-20,fe_ature._10,9,620,0,FALSE ,FALSE,id-MLLOaf
177,usage_1_77,S-5bbfe3,1970-01-20,feat)ur)e_10,2,376,1,FALSE,FALSE,id-glFzTk 
178,usage_17-8,S-535bd1,1970-01-20,feature_5,11,4281,NA,FALSE,FALSE,id-XxxH$lV
179,NA,S-!c005ac ,1970-01-20 ,NA,7,1089,1,FALSE ,FALSE,id_-soAVBn
180,usage_180 ,s-7a1803,NA,f%eatu$re@_30,NA,6863,0,false,false,NA
181,usage_181,S-532502,1970-01-20,feature_37,12,5105,0,FALSE,FALSE,id-@ZzsfSw
182,usage_182,S-ffd1ee,1970-01-20,feature_34,13,3563,1,FALSE,FALSE,NA
NA,usa(ge_183,S-1dfdd*0,1970-01-20,fea%t$ure_35,8,1725,1,FALSE,FALSE,id-O%xDIrW 
184,usage_18!4,S-f60667,1970-01-20,feature_8 ,6,1634,NA,NA,NA,id-O!sXjWO
185,usage_185,S-c158_df,1970-01-21,feature_%19,13 ,NA,1,FALSE ,FALSE,NA
186,usage_186,S-1c23d2,NA,NA,7,1199,0,FALSE,FALSE,id-jkPLw-F 
187,USAGE_1_87,S-390955,1970-01-20,FEA&T+URE_34 ,19 ,8176 ,0,FALSE,FALSE,^ID-DQDWSZ
188,usage_188,S-*d43ad9,1970-01-20,feature_3-4,17,5554,2 ,FALSE,NA,id-QgQZGL
189,&us&age_189,S-bdac36,1970-01-20,fea%ture_17,9,5840,0,FALSE,FALSE,id-hEYCoI
190,usag%e_190,S-4af4.21,1970-01-20,feature_13,5,1204,0,FALSE,FALSE,id-bhdyUT
191,usage_191 ,S-ceaca%8 ,1970-01-20,feature_1)8,NA,4843,0,FALSE,FALSE,id-gOOSav
NA,NA,S-cf59a0,1970-01-20,feature_1,8,NA,0,FALSE,NA,i(d-XegsHr
NA,NA,+S-0a8200,NA,featu_re_)2,12,1263,2,FALSE,FALSE,id-etUwlx
NA,usage_194,S-7^9ab7e,1970-01-20,feature_2,5 ,NA,2,FALSE,FALSE,id-gAyHU_F
NA,usag_e_1.95,S-39^a28e,1970-01-20,feature_19,16,5729,0,FALSE ,NA,id-JZAONa 
NA,usage_196,S-77830$7,1970-01-20,&fea&ture_37,8,2895 ,0,FALSE,FALSE,id-FRgeyZ
197,NA,S-_38dcab ,1970-01-20 ,f$eature_2,12,NA,0,FALSE,FALSE,id-Qlt.dir
198,+usage_19%8,S-2ff628,NA,feature&_19,10,2392,0 ,FALSE,FALSE,id-uhq!AMY
199,u+sage_199,S-6_d4!050 ,1970-01-20,featu.r$e_17,7,4342,NA,FALSE,NA,id-_HQPCba
200,$usage_!200,NA,1970-01-21,feat*ur#e_26,11,2648,2,FALSE,FALSE,(i^d-(t_nBtWt
201,us^age_201,S-6a9918 ,1970-01-20,feature_24,13 ,2912 ,0,FALSE,FALSE,id-.t+jqXJU
202,us.age_20(2 ,S-0e499f ,1970-01-20,feature_24,10,2074,1,FALSE,FALSE,id-bFewSr
203,usage_20*3,S-00866d,NA,feature_31,11,2408,1,TRUE,FALSE,id-*zeKlGi
NA,NA,S-b204c$4,NA,feature_18,8,1615,0,FALSE,NA,id--sABipT
205 ,usa@ge_205 ,NA,1970-01-20,fe+atur@e_10 ,NA,4027,3,NA,FALSE,i+d-ONtiOJ
206,usage_$20-6 ,s-92de^d)e,1970-01-20,feature_21,12,2962,3,false,false,id-slxklm
207,usage_2@07,S-5313$fa,1970-01-20,^feature_16,14,6816 ,0,FALSE,FALSE,_id-BcfVjQ
NA,u&sage_2!08,S-cf30e#2 ,1970-01-20,feature_!6,NA,3386,NA,FALSE,FALSE ,id-dLxSGJ 
209,usage_209,S-62b7cf ,NA,feature_21,5,2133,1,TRUE,NA,i^d-blAXuq
210,usa+ge_210,S-cfcd0&7,1970-01-20,fe#ature+_29,9,3020,0,FALSE,FALSE ,id-zQgmOL
211,usage#_211,S--703faf,1970-01-20,fe.ature_12,9 ,1449,NA,FALSE,FALSE,NA
212,usage!_212,S^-575bef,1970-01-20,feature_30,15,4342,0,TRUE,FALSE,id-Uy&rFhc
213,usage_213,S%-43cd!30,1970-01-20,!feature_14,NA,1733,1,FALSE,FALSE,id-ubhMTj
214,u(sa-ge_214,S-544f34,1970-01-20,feature_8,NA,NA,3,FALSE,FALSE,id(-NibXmq 
215,u$sa+ge&_215,S-9b8504,1970-01-20,feat-ure_31,7,598,0,FALSE,NA,id_-lL%eheE 
216,USA&GE_216,S-7D66(F&B,1970-01-20,FEATURE_30,13,423,2,NA,FALSE,ID-NXUKEZ
217,NA,S-65d722,1970-01-20,NA,6,1682,0,NA,NA,id-$rmMEEx
218,NA,s-9333c5,1970-01-20,feat.ure_35,11,6073,NA,false,false,id-mmzgpa
219,usage-_21*9,S-(55%db9e ,1970-01-20,feat)ur_e_29,NA,4194 ,0,NA,FALSE,id-FNEfAD
220,usage*_-220,S^-d425c9,1970-01-20,NA,12 ,1350,1,FALSE,FALSE,id-FD-BTAx
221,usag%e_221,S@-f6cd70,1970-01-20,feature_)25,NA,2256,4,FALSE,FALSE ,id-EVQCAf
222,u)sage_222,S-648618,1970-01-20,featur@e_%3$2,12,3619,0,FALSE,FALSE,id-jiiPnr 
223,usage_#223,S-^ddc51(c,1970-01-20,fea.ture_&2)0,9,1735,0,FALSE,FALSE,%id-YqqTrP
224,NA,S-23*587d,1970-01-20 ,feature__30,11,2746,3,FALSE,FALSE,id#-bavMC^I
225,usage_2^25,S-2f729b,1970-01-20,NA,6,3456,NA,FALSE,FALSE,id-GEyfDQ 
226,USA(G#E_226,S)-7$26749,NA,FEATUR&E_+6,13,10138,2,FALSE,NA,I-D-N!ZN^WMJ
227 ,usa_ge_227,S--2a5+7_b3,1970-01-20,feat$ure_19,9,1826,0,FALSE,FALSE,id-btDECa
228,u@sage_228,S-ada$718,1970-01-20,featur$e_32,7 ,1873,1,FALSE,FALSE,id-BPPlKL
229,NA,-S-f5c47)2,1970-01-20,f$eature_2$2,NA,494,1 ,NA,FALSE,id-VnSvyw
230,!usage_230,s-227)856,1970-01-20,_f)eatu(re_25,14,NA,0,NA,false,i(d-odbiip
231,NA,S_-(48d2b5,1970-01-20,feature_7,16,3253,2,FALSE,NA,id-PhxvYI
232,usag#e%_232,S-38a5fb,1970-01-20,feature_32 ,10,625,0,FALSE,FALSE,id-VnXxvY
NA,usage_)233,S-ccd045,1970-01-20 ,feature_26 ,NA,1271,0,FALSE,FALSE,id-hilRDs 
234,usage_2(34,S-b51d3&4,1970-01-20,#fe(at&ure_38,13,3863,NA,NA,FALSE,NA
235,usage_235,S-eaa2c2,1970-01-21,fe.a%tu#re_1,14 ,6302,0,FALSE,FALSE,id-qY)JUgj
NA,usage_-23^6,S-.4d30ba,NA,feature_9,7,1490,NA,FALSE,FALSE,id-uLrVDC
237,NA,S-d33d84,1970-01-20,feature_9,13,6709,0,TRUE,FALSE,id-znVJMJ
238,usage_238,NA,NA,f!eature_27,12 ,7810,3,FALSE,FALSE,id-iglezo
239,usag-e_239,NA,1970-01-20 ,featu%re_12,10,4083,0,FALSE,FALSE,id-yZb_rWe
240,usage_*240 ,S-d6dc7a,1970-01-20,feat.ure_19,12,NA,0,FALSE,FALSE,!id-av&BGsB
241,usa+ge_241,S-ae3270,1970-01-20,fea-t)ure_18,10,5893,1,FALSE,FALSE,i*d-YVo)z)Yz
242,NA,NA,1970-01-21,feature+_36,11,5391,NA,FALSE,FALSE,@id#-HhpwnO 
243,usage_243,NA,1970-01-20,fe#ature_.37,NA,899,0,FALSE,FALSE,id-_MEFFKA
244,NA,S-fc4ac6,1970-01-20,feature_28 ,6,NA,0,FALSE,FALSE ,id-Rmq.Zoy
