...1,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,usage_day,synthetic
156,@U-dac1be,S-)87ebe6,2023-09-27,feature_15,5,1050 ,0,FALSE,NA,FALSE
157,U-a204d5,S-debb+ee,2023-12-13,feature_16 ,11,1562,0,FALSE,2023-12-13,FALSE
158,NA,.S-d6cffe,2024-04-16,NA,11,4169,1,NA,2024-04-16,FALSE
159,*U-ac8aef,S-8a9db8,2024-01-09,f_eature_35,9,2214,4,FALSE,2024-01-09,FALSE
160,U-0178e0,S-e4^ce2c ,2023-09-09,f!eature_1$7,NA,3604 ,0,NA,2023-09-09,NA
161,U-2^9fb62,NA,2024-12-07 ,NA,NA,840,0,FALSE,2024-12-07,FALSE
162,u-9656e3 ,NA,2024-12-24,feature_-24,7,3822,0,false,2024-12-24,false
163,U-259e01,!S-*11d922,2024-02-20,feat!ure_2,7,2709,4,TRUE,2024-02-20,FALSE 
164,U-3ab851,S-aad754,2024-01-14,feature_30 ,15,6060,1,FALSE,2024-01-14,FALSE
NA,U-04745a,S-f1778c,2024-11-22,feature_18,12 ,6192,3 ,FALSE,2024-11-22,FALSE
166,U-b3b*4a4,NA,2024-04-09,NA,6,1674,0,FALSE,2024-04-09,FALSE
167,U-7^8de54,S-8b345c,2023-07-24,featur_e_24,8,2000,0,FALSE,2023-07-24,FALSE
168,$U-dfc2a7,NA,2024-01-15,feature_37,9,4392,0,FALSE ,2024-01-15,FALSE
169,NA,S(-7@04cf3,2024-02-07,+feature_25,14,7266,NA,FALSE,2024-02-07,FALSE
170,U-bc9c63,S)-46526e,2023-03-07,featur_e_28,10,2180,0,FALSE,2023-03-07,FALSE
171,U-f4^8199 ,S-9e70.60 ,2023-05-10,_feature_6,8,1488,0,FALSE ,2023-05-10,FALSE
172,U-b)426f0,S-0144ac,2023-10-20,f_eatu%r(e_24,5,NA,0,FALSE,2023-10-20,FALSE
173,U-b484bd,NA,NA,feature_1,6,NA,2,FALSE,2024-12-15,FALSE
174,U-b4d7bc,S-802cc6,2024-09-25,featu.re_20 ,12 ,6300,1,FALSE,2024-09-25,FALSE
175 ,u-4+a08b4,s-8ae5*07,NA,feature_@12,9,3717,0,false,2023-12-16,false 
176,U-62e148,S-$5450.af,2023-05-27,feature!_21,7,2695,5,FALSE,2023-05-27,FALSE
177,+U-a77713,S-97bc99,2024-01-26,featu.re_%26,8,2512,0,NA,2024-01-26,FALSE
178,u-42ef12,s&-97a*5(7b,2023-07-06,feature_8,10,2500,0,NA,2023-07-06,false
179 ,u-c67e+37,s-!2372d2,2024-04-09,&feature_18,9,1296,3,false,2024-04-09,false
180,U-2e3#df6,S-0638dc,2024-01-12,feature__38,13,1638,NA,TRUE,2024-01-12,FALSE
181,U-48baed,S-0a8acf,2023-07-05,feature_25,7,910,1,FALSE,2023-07-05 ,FALSE
182,U-62c7^6#6,S-a5d94!9,2023-02-23,NA,7,3934 ,3,FALSE,NA,FALSE
183 ,+U-f1b167,S-d71fe9,2023-07-20,feature_1#6,NA,1660,1,FALSE,2023-07-20,FALSE
184,U-42a464,S-628842,2023-04-30,feature_20,19,6251,2,FALSE,2023-04-30,FALSE
185,U-a12b4a,S&-84e1$46,2023-08-07,feature_4,9,4212,0,FALSE ,2023-08-07 ,FALSE
186,U-4cf4cb ,)S-bbc0f7,2024-02-27,feature_15,NA,6149,0,FALSE,2024-02-27,FALSE
187,#U-616F3$7,S-*8F181E,2023-04-17,FEATURE_2,11,NA,1,FALSE,NA,FALSE
188,U-99b91c,S-a2cd6a,2024-10-23,.featu#re_8,8,4096,0,NA,2024-10-23,FALSE 
189,NA,S-59778a,NA,f$eature_1&1,7,1050,0,TRUE,NA,NA
190,U-E19B2E,S-BE601B,2023-03-23,NA,9 ,5103,0,FALSE,2023-03-23,FALSE
191,NA,S-62fa42,2023-04-05,feature_36,7,2044,NA,FALSE,2023-04-05,FALSE
NA,U-6908@21,S-5ddf8%d,NA,featur)e_14,11,NA,0,FALSE,2023-06-10,FALSE
193,U-6f*9192,S-16a545,2023-06-30,feature%_28 ,3,1566,1,FALSE,2023-06-30 ,FALSE
NA,NA,S-9b8167 ,2023-09-23,feature_18,10,5150,0,FALSE,2023-09-23,FALSE
195,U-)8D5B32 ,S-6^1A8!7E,2023-04-26,NA,8,1624,0,NA,2023-04-26,FALSE
NA,$u^-068eef,%s-834&097,2024-10-25,fe@atur)e_2,12 ,6552,0,false,2024-10-25,false 
197,U-897937,S-7ba2ad,2023-12-16,feature_10,9,2088,NA,FALSE,2023-12-16,FALSE
198,U-%66ad5c,S-e9257d,2024-04-18,f(eature_29,10,1400,0,NA,NA,FALSE
199,u-faa335,s-2e.b#d06,2024-03-16,feature_26,8,NA,0,false,2024-03-16,false
200,NA,S-1bbf0a,2023-07-12,feature_13,8,3872,NA,TRUE,2023-07-12,FALSE
201,NA,S-b3bd43,2023-04-25,feature_18,8,544,4,NA,2023-04-25,FALSE
202,U-342dd#1,S)-$fc1114,2024-10-06,feature_23,10,1610,0,FALSE,2024-10-06,FALSE
203,@U-b7c6c8,S-ee30bb,2024-07-03,&feature_5,9,270 ,0,FALSE,2024-07-03,FALSE
204,U-.049032,$S-c26c22,2023-11-30,f^eatu.re#_34,11,561,0,FALSE,2023-11-30,FALSE
205,U-5686b@9,S-f97609,2023-01-26,feature_10,13 ,6500,3 ,FALSE,2023-01-26,FALSE
206,U-a-dd9aa,S+-f2d47e,2023-05-12,NA,11,3531,0,FALSE,2023-05-12,FALSE
207,U-36c7^a4,S-c6d8ce,2023-11-24,feature_30,5,1020,0,FALSE,2023-11-24,FALSE
208,U-ED15A!8,S+-9)A8D01,2024-03-11,FEATURE_2,12,3756,0,FALSE,NA,FALSE
209,U-88b809 ,S-d07886 ,2024-08-10,feature_8,5,1135,0,FALSE,2024-08-10,FALSE
NA,U-0^490cc,S-39b#5ce,2024-06-25,feature_6,10,5110,0,TRUE,2024-06-25,FALSE
211,U-6267bd,NA,2023-02-05,f!eatur+e_13,NA,1548,3,FALSE,2023-02-05,FALSE
212,U-7b_ffd5,S-cd8a6a,2024-01-23 ,feature_4.0 ,9,3231,0,TRUE ,2024-01-23,FALSE
213,U!-^4445f3,S-aa7247,2024-12-27,feature_-10,12,6420,3,FALSE,2024-12-27,FALSE
NA,U-6D#E&5A2,)S-DE6767,2023-06-30,NA,19,3705,0,TRUE,2023-06-30,FALSE 
215,)U-0a$141e,S)-bd2ab2,2024-10-08,.feature_32,20,5140,0 ,NA,2024-10-08 ,FALSE
216,U@-87ca7%9,S-b8fcc5,2023-05-11,feature_24 ,13,4745,0 ,NA,2023-05-11,FALSE
217,U-72b90+2,S+-$022a1e,2023-08-29,feature_1.0,11,1958,0,FALSE,2023-08-29,FALSE
218,U_-%52DA9(9,S-9@BE237,2024-10-17 ,FEATURE_29,8,1896,NA,FALSE,2024-10-17,FALSE 
219,U-36a7e4,S-503afa,2024-06-18,!feature_&39,7,1281,0,FALSE,2024-06-18,FALSE
220,U-%a(76823,S@-79a9e1,2023-10-22,feature_24,6,NA,0,FALSE ,2023-10-22,FALSE
221,U-1E!3$9F8,S-A9FB74,NA,FEA!TURE_1(5,10,1370,2,FALSE,2023-12-29,FALSE 
222 ,U-ab4efe,S!-fb95f2 ,2024-03-09,feature_28,8,752,1,FALSE,2024-03-09,FALSE 
223,U-e3feff,S^-510999,2023-12-25,feature_3,6,2910,0,FALSE,2023-12-25,FALSE
224,U-83174b,NA,2023-04-04 ,feature_4,8,4552,0,FALSE,NA,FALSE
225,U-b7dd&a3,S-3a@a11b ,2023-02-16 ,featur@e_33,6,1176,0,FALSE,2023-02-16,FALSE
226,U-71a*edb,S-6ce794,2024-09-13,featur@e_32,11,1408,0,TRUE,2024-09-13,FALSE
227,NA,-S-029_84e,NA,feature_13,11,4345,0,FALSE,2023-06-12,FALSE 
228,U-4bdf83,S-2d$ad6b,2023-04-12,fea(ture_1,10,5080,2,FALSE,2023-04-12,NA
229,U-84496f,S-^ca136e,NA,!fea@ture_26,12,1284,NA,FALSE,2023-06-09,FALSE
230,U-(2b76fa,S%-08a5fd,2024-10-22,%feat*ure_36,12 ,2784,NA,FALSE,2024-10-22,FALSE 
231,U-8f850b,!S-6f43f7,2024-11-25,featu#re_!36,11,2112 ,0,FALSE,2024-11-25,FALSE
232,U-5d4e12,NA,2024-05-19,feature_28,12,NA,NA,FALSE,2024-05-19,NA
233 ,U%-dbe096,S-a2cd6a,2023-09-22,fe&atu#re_26 ,9,4446,2,FALSE,2023-09-22,FALSE
234,U-.75e7bd,S-4d2!011,2023-11-29,NA,11,NA,1,FALSE,2023-11-29,FALSE
235,U-f2eb07,S-2d62ad,2023-05-29,feature_14,10,2260,0,FALSE,2023-05-29,FALSE
236,$U-ed3e27,S-69cc68,2023-05-26,NA,9,4725 ,0 ,FALSE,2023-05-26 ,FALSE
237,U-(755e4$2,NA,2024-10-11,featur)e_7,10,3040 ,0 ,FALSE ,2024-10-11,FALSE
238,NA,S-cc4bf0,2023-06-07,fe*a#ture_23,7,4046,1,TRUE,2023-06-07,FALSE
239,U-$a0c7fb,S-0*04e!b4,2023-06-07,fea@ture_12,8,1496,1,FALSE,2023-06-07,FALSE
240,$U-c1baa6 ,S-9c06_f8,2024-02-19,feature_4,9,3519,0,NA,2024-02-19,FALSE
241,U!-9f3718,NA,2024-09-24,)feature_22,11,2431,NA,FALSE,2024-09-24,FALSE
242,NA,S-a-2%ee32,2024-11-02,&f-eature_4,12,4836,0,FALSE,2024-11-02,FALSE
243,U-a_1cddd,S-7e2-e5c,2024-10-12,feature_31 ,13,3315 ,2,FALSE,2024-10-12,FALSE
NA,&U-9f&3c2a,S-39e88c,2024-10-25,featur*e_8,16,8784,0,FALSE,2024-10-25,FALSE
245,U-35c6b9,S-3e54f_5 ,2023-10-06 ,feature_26 ,9,4572,0,FALSE ,2023-10-06,FALSE
246,U-7db4a5,S-ee4c5(c,2023-04-18,feature_16,5,55,0,TRUE,2023-04-18,NA
247,NA,S-86E45A,2024-11-16,NA,11,2629,5,FALSE ,2024-11-16,FALSE
248,U-84c980,S-14a685,2023-11-09,NA,11,6380,1,FALSE,2023-11-09,FALSE
249,U-ff8c99,S-164@594,2023-06-02,feature_1,14 ,1092,0 ,FALSE,2023-06-02,FALSE
250,&U-62df4c,S-0e057_d,2024-01-30,+feature_12,14,5810,0 ,FALSE ,2024-01-30,FALSE
251,U(-d00bfb,S*-863c87,2024-06-04,f(eature_1!9,9,3717,NA,FALSE,2024-06-04,FALSE
252 ,U-(f-b4e9a,^S-3cae3d,2024-08-07,fea+ture_31,9,NA,2,FALSE,2024-08-07,FALSE 
253,NA,S-4%c9107,2023-03-06,NA,12,3456,0,FALSE,2023-03-06,NA
