ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
$T-3a2a66,A-e98302,2023-09-15 ,2023-09-17 18:00:00,66,l)ow,150,NA,FALSE
T-490c4a,A-(503d5a,2023-08-08,2023-08-08 09:00:00,9 ,urgent,NA,NA,FALSE 
T-6cce32,A-659280,2024-06-12,NA,6,medium,176,4,FALSE
T%-@ec46f5,A-f5641b,2023-04-19,2023-04-21 07:00:00,55,high,93,NA,FALSE
T-219%07.7,.A-.fb186e,2024-02-09 ,2024-02-10 18:00:00,42 ,mediu#m,58,NA,NA
T-6b6fb&7,.A+-7168*41,2024-02-11,2024-02-11 04:00:00,4,me)diu)m,NA,3,FALSE
t(-2e5ba4,a-0@b%e015,2024-12-05,2024-12-05 14:00:00,14,low,46,4 ,true
T-8001a4,A-c&9bb3e,2023-05-08,2023-05-08 11:00:00,11,urgent,53,NA,TRUE
T-a1d9dd,A-fd7ad3,NA,2024-04-29 16:00:00,64 ,urgent,21,3,FALSE
T-121d6f ,NA,NA,2024-09-17 17:00:00,17,low,132,4,TRUE
T-fd1ba2,A-d27*f50 ,2023-12-15,2023-12-16 16:00:00,40,high,158,NA,FALSE
T-b6d7ac,A-a0ca4e,2023-10-29,2023-10-29 11:00:00,11,low ,12,5,NA
T-f2b9a5,A!-f6b2%fb,2024-01-19,2024-01-20 12:00:00,36,medium,138 ,5,TRUE 
T%-61fc87,A-03#4368 ,2023-01-13,2023-01-15 17:00:00,65,me$dium,127,NA,NA
T-00fa83,A-920%8f0,2023-04-01,2023-04-03 22:00:00 ,70,l#o)w,6,NA,FALSE
T-#358dd5,NA,2023-08-20,2023-08-22 09:00:00,57,medium,131,NA,FALSE
T-54@e843,A-bb3bd4,2024-10-06,2024-10-06 08:00:00,8,medium,63 ,3,FALSE
T-50ad36,NA,NA,2023-05-08 02:00:00,26,mediu$m ,126,NA,FALSE
t&-*06bf16,a-4a4c2d,2023-08-02,2023-08-03 06:00:00 ,30 ,med^ium,44 ,4,false
T-f155f0,A)-b179bf,2023-08-06,2023-08-06 06:00:00,6 ,high,156,NA,FALSE
T-777753,A.-ce66f@8,2023-01-23,NA,NA,low,74,NA,NA
T&-85-7a8d,NA,2024-01-08,2024-01-10 18:00:00,66,medium,52,NA,FALSE
T-384DCB,A-(B-C4D48,NA,2024-11-20 23:00:00,71,URGENT,6,NA,TRUE
T-970c#6c,A-4)3#9b2f,2024-12-12,2024-12-12 20:00:00,20,urgent,123 ,NA,FALSE
$T-5+0c7f8,A^-a1bbb6 ,2024-01-18,2024-01-19 12:00:00,36,urgent,47,NA,FALSE
T)-a528f4,A-b78bf+8,2023-04-15 ,2023-04-16,24,urge*nt,7,3,FALSE
T@-7b7a5a ,A-1e50e0,2024-10-02,2024-10-02 19:00:00,19,high,170,5,TRUE
NA,A-b9f.5b1,2024-10-24,2024-10-24 18:00:00,18,urgent,86,4,FALSE
T-48_6@b6b ,A-883b7d,2023-01-28,2023-01-28 22:00:00,22,urgent,102,5,FALSE
T-19cc99,A-c16b88,2023-04-28,2023-04-30 05:00:00,53,high,134,NA,FALSE
T-35fc90,*A-e98302,2023-10-23,2023-10-25 19:00:00,67,lo+w,121,NA,FALSE 
T-d4&142-b,@A^-700a.de,2023-05-25,2023-05-27 18:00:00 ,66,urgent,69,4,FALSE
T-6ba+215,A-56962b,2023-03-24,2023-03-26 18:00:00,66,NA,73,NA,FALSE
T-e5c785,&A-b5+4c0_1,NA,NA,26,medium,41,NA,FALSE
T-4f_0d9^8,A-e40f45,2023-03-31,2023-03-31 10:00:00,10,urgent,19,NA ,FALSE
$T-e97da3 ,A#-45ce7a,2024-04-04,NA,25,low,81,NA,FALSE
T-990a0e,A-fa3095,2024-11-06,2024-11-08,48 ,NA,28,NA,FALSE
T-ce%1dee,A-d792_a6,2024-10-10,2024-10-11 08:00:00 ,32,low,126,NA,NA
T-b.7b797,A-bb^c346,2024-03-11,2024-03-12 11:00:00,35,med@ium,24,NA,NA
T-847498,NA,2023-07-17,NA,59,hi*gh,36,NA,FALSE
T-2ef49b,A-cc1-d8@d,2023-09-15,2023-09-16 21:00:00,45,medium,33,5,FALSE
T-f(b6fa3,A--0a62f#5,2024-11-26 ,2024-11-26 08:00:00,8,NA,57,NA,NA
T-a3f900,A-a-e052e,2023-07-22,2023-07-23 05:00:00,NA,me@dium,126 ,3,FALSE
T-b9e7df,A-526d93,NA,2023-05-10 05:00:00,5,m!edium,158,NA,FALSE 
NA,A-(cc$c747,2024-06-27,2024-06-29 12:00:00,60,NA,NA,5,FALSE
T-4c2f4b,NA,2023-12-02,2023-12-03 13:00:00,37,high,150,NA,FALSE
T-e7dc15,A-39+868b,NA,2024-03-26 22:00:00,NA,-m*edium,137,NA,FALSE
T-9876fb,A-)2$e3-bad ,2024-01-18,2024-01-18 14:00:00,14,high,92,NA,FALSE
T-2C6679 ,A-0BE015,2024-07-16,2024-07-18 03:00:00,51,MEDIUM,73,5,NA
T.-03303d,NA,2023-11-29,NA,59,&hig)h,7,NA,TRUE
T_-1ed4c4,A-c62e55,2024-03-21,2024-03-21 15:00:00,15,urg@ent,129,5,FALSE
T-7c6ab3,A-65a+46c,2024-12-23,2024-12-25 09:00:00,57,NA,96,5,FALSE
T-67bfcf,A-3932db,2023-09-01,2023-09-02 12:00:00,36,urgent,144,NA,FALSE
NA,A-ac14bb,2024-03-28 ,2024-03-28 21:00:00,21 ,high,23 ,NA,FALSE
T-b4be%c0 ,A(-1^17171,2023-08-05,2023-08-06 09:00:00,33,urgent,137,NA,FALSE
T-0#3.d219 ,A-ae052e,2024-01-02,2024-01-04 05:00:00,NA,NA,6,NA,FALSE
T-7c2d38,A+-ad3#abd,2024-11-03 ,2024-11-03 01:00:00,1,high,35,NA,FALSE
T-1112c6,A-de2!4d5,2023-09-22,NA,NA,-ur$gent ,24,NA,FALSE 
^T-%938c6d,)A-a8d89d,NA,2023-08-21 12:00:00,60,low,132,NA,FALSE 
NA,!A-9f9299,2024-10-05,2024-10-05 05:00:00,5,high,94,NA,FALSE
T-bdc72c,A-3.4d880,2024-11-19,2024-11-21 14:00:00,NA,mediu-m,106,3 ,FALSE
T-7d4777,NA,2024-11-20,2024-11-21 16:00:00,40,NA,4,3,FALSE
T-03624C,A-7C6B6B,2024-01-29,2024-01-31 10:00:00,NA,LOW,68,3,FALSE
T-3fa#b11,A-463db_0,2023-03-12,2023-03-14 07:00:00 ,55,high,123,5,FALSE
!T-37f2cf,&A-faa28c,2024-05-29,2024-05-30 17:00:00,41,urg@ent,NA,5,TRUE
T-%826f63,#A-f9cc74,2023-07-23,2023-07-26,72,low,169,NA,FALSE
T.-+f-7ec04,A-ad29%6!b,2023-10-18,2023-10-18 16:00:00 ,NA,urgent,74,3,TRUE 
T-.856d24,A-db%c8@25,2023-05-05,2023-05-07 05:00:00,NA,)hig+h,166,NA,FALSE
@T%-CBF^D6#B,A-8B*0@4+51,2023-03-15,2023-03-16 01:00:00,25,M-ED&IUM,137,4,FALSE
T%-66636b,A-37f9@69,NA,2023-07-27 22:00:00 ,70,medium,116,4,FALSE
T@-be44e$a,NA,2024-09-17,2024-09-19 01:00:00,49,medi^um,19,5,FALSE
T-fcd539,NA,2024-07-12,2024-07-12 21:00:00,21,urgent,97,NA,FALSE
T-433a5(3 ,A+-&297a2d ,2023-02-28 ,2023-02-28 10:00:00,NA,h+ig^h,NA,3,FALSE
T-5fb9f7,A-0f7d&77 ,2023-01-06,2023-01-06 19:00:00,19,mediu_m,88,NA,FALSE
T-$ced995,A-76fa4d,2024-06-24,2024-06-25 19:00:00,43,!urgent,NA,NA,FALSE
T-9398db ,A-bbe56f,2024-06-28,NA,48,low ,107,NA,FALSE
NA,A-cb6cc6,2024-11-25,NA,26,high ,NA,3,FALSE
@T-8833a5,A-a1b80b,2023-12-02,NA,34,medium,NA,4,FALSE
T-#ef7c6e,NA,2024-05-14,2024-05-14 01:00:00,1,high,47,5,FALSE 
T-b8ed8f,A-2-2f2df,2023-01-18,2023-01-18 11:00:00,11,high,99,NA,FALSE
T-97+f)a24,A-f51f16,2023-06-16 ,2023-06-16 09:00:00,9,medium,73,3,FALSE
NA,A-ccc747,2023-06-02,2023-06-02 03:00:00,3,m@ed)ium,18,NA,FALSE
T-c45238 ,A-3f9)cc0,2024-11-03,2024-11-05 12:00:00,60,NA,139,NA,FALSE
(T-a8de52,A-#5b4ebb ,2024-11-07,2024-11-07 17:00:00,NA,NA,128 ,5,FALSE 
T-73259)c,A-54%ecc2,2023-05-09,2023-05-09 20:00:00,20,medium,59,NA,FALSE
t-eace7b,a-9c18c4,NA,2023-02-13 08:00:00,32,low,156,NA,false
T-9cb671,A-+ce5(50d,2023-06-11,NA,55,high ,73,NA,FALSE
T-ae23-c_2,A-7e0a1$0,2023-03-09,2023-03-10 15:00:00,39,u%rgent,127,5,NA
T-1cbbd0,A&-c1dfe1,2024-01-28,2024-01-29 09:00:00,33,%urgent,38 ,4,FALSE
T-7.8b6e2,NA,2023-09-11,2023-09-12 07:00:00,NA,high ,45 ,5,FALSE
NA,A-a0935(5,2023-10-20 ,2023-10-20 08:00:00,8,lo!w,129,5,FALSE
T^-_6*67845,A-82.861f ,2024-09-17,NA,11,u$rgent,77,3,FALSE
T-546223 ,A-ccabf0 ,2023-01-04 ,2023-01-06 13:00:00 ,61,$high,46 ,4,FALSE
T-_6a2899,A-4437e4,2023-09-12,NA,51,medium,136,NA,TRUE
T-ce(b!781,A-712^533 ,2023-07-17,2023-07-17 09:00:00,9,NA,108,3,NA
T-3653_42,A+-39868b,2023-04-04,2023-04-05 05:00:00,29,low ,146 ,5,FALSE
T-(e9e7a7,A-3be56b ,2023-06-17 ,NA,22,*low,107 ,3,FALSE
T%-)4be9(2#7,NA,2023-11-04,2023-11-06 14:00:00,NA,low,31 ,3,FALSE
T-5b7600,A-b#d4513 ,2023-08-28,2023-08-29 21:00:00,45,med*ium,127,5 ,NA
T-d0e!9c2,$A-0!f6450,2024-02-27,2024-02-28 12:00:00,36,med#ium,NA,NA,FALSE
T-62d^8ce,A-50f3f7,2024-09-01,2024-09-02 02:00:00,26,l$ow,165,5,FALSE
T-2a24d4,A-8145a0,2023-08-19,2023-08-19 17:00:00,17,urgen-t,NA,3,FALSE
T-a3$d)1d0,A-c58f49,2023-08-24,2023-08-25 20:00:00,NA,urgent,54,NA,FALSE
T-a%de.86f,A-%e3bd71,2024-01-25 ,NA,NA,low,96,NA ,FALSE
T-b8e4c5,A-ef84!cf ,2023-11-03,2023-11-04 10:00:00 ,34,NA,98,NA,FALSE
T-.ffeda5,A-560d@2&7,2023-11-12,2023-11-13 16:00:00,40,me^dium,NA,NA,FALSE
NA,)A-8&32ec2,2024-07-24,2024-07-26 06:00:00,54,m#edium,171,4,FALSE
@T-85af66,A-1f7acb,2024-01-12,2024-01-12 13:00:00,13,medium,165,NA,FALSE 
T-e13c08,A-de58ca,2023-12-28,2023-12-28 06:00:00,6,lo-w,23,NA,FALSE
T-@f365f.1,A-9779ad,2024-10-14 ,2024-10-15 19:00:00,43,medium,161,5 ,FALSE
T-dd45#ee,+A&-$8ed5dd,2024-12-09,2024-12-09 08:00:00,8,high ,97 ,3,NA
T&-59d842,NA,2024-08-05,2024-08-07 19:00:00 ,67,medium,168,4,FALSE
T@-4a12!e6,NA,2024-08-07,2024-08-08 23:00:00,47,urg.ent,108,5,FALSE
T-3!bfb51,$A-425e76,2024-05-07,2024-05-07 23:00:00,23,high,60,NA,FALSE
T-d3391b,A-cb5333,2023-11-25,2023-11-27 17:00:00,65,low,165,NA,FALSE
T-^ae6671,A-798a3&f,2023-07-16,2023-07-18 10:00:00,58,urgen&t,NA,NA,FALSE
T-*3*0#0e@16,A-22d9d2,2024-10-15 ,2024-10-15 04:00:00 ,4,urg$ent,131,3,TRUE
T^-167962,NA,2023-11-09,2023-11-10 08:00:00,32,hig+h,NA,3,FALSE
T-17.60ba,A-0$b0d6d,2023-08-03 ,2023-08-04 12:00:00,36 ,medium,1,3,NA
T-a231f8,A-7%6fa4d,2023-04-19,2023-04-19 22:00:00,NA,NA,177,4,FALSE
t-@706.693,a.-b54c01,2023-12-31,2024-01-01 14:00:00,38,_medium,19,3,false
T-fe8af7,A-90a8_c8,2023-10-13,2023-10-14,24,low,NA,NA,NA
T^-a427d8,A--4ef964,2023-03-24,NA,5 ,high,61,3,FALSE
!T-30b4eb,*A-10-4f1a,2024-12-30,2024-12-30 12:00:00,12,m#e#dium,37,NA,FALSE
_T@-abb562,A-700ade,2023-09-08,2023-09-08 12:00:00,12,low,6,5 ,FALSE
T-a&819c9,A-13-9c3b,2023-07-11,2023-07-13 14:00:00,62,ur&gent,38,NA,FALSE
T-3(6d4a7 ,A-902ef7,2024-07-07,2024-07-08 13:00:00,37,NA,130,NA,FALSE
%T-5c2f82 ,A-1f559b,2023-12-13,2023-12-15 20:00:00,68,urgent,NA,4,NA
T-701980,A-ced9*aa,2023-09-15 ,2023-09-15 20:00:00,20,low,125 ,NA,FALSE
T-5f6c15,A-e43bf7,2024-12-25,2024-12-25 05:00:00,5,medium,NA,NA,FALSE
T-07593c,A-@3104(52,2023-11-24,2023-11-24 11:00:00,11,medium,145,3,FALSE
T-6807)E7,A-A33200,NA,2023-08-23 16:00:00,NA,LOW,118,4,FALSE
T-027d8f,-A-508199,2024-03-23,2024-03-24 20:00:00,44,urgent,27,NA,FALSE
T-3798d5,A-5!ed98*d,NA,2024-03-28 12:00:00,NA,medium,56,NA,FALSE
NA,A-118f1c,2023-06-22,2023-06-24 16:00:00,64,medium,141,3,FALSE
T*-1@96fca ,%A-6843f2,2024-04-27,2024-04-29 13:00:00,61,high ,22,3 ,NA
T-b2adad,NA,2024-10-29,2024-10-31 09:00:00 ,57,medium,20 ,5,FALSE 
NA,A-bb1eaa,2024-05-21,2024-05-21 01:00:00,1,_u+r!gent,114,4,FALSE
T-f8^7)3ff,A-9123ac,2023-04-21,2023-04-22 16:00:00,40,low,73,4,FALSE
T-2a2e(cd,A-5%334&52,2023-10-26,2023-10-27 23:00:00,47,medium,30 ,NA,FALSE
NA,A-44dc83,2023-06-11,2023-06-12 16:00:00,40,high ,53,4,FALSE
T-c32093,A&-&313be3,2023-01-27,NA,8,urgent ,41,NA,FALSE
T-!f0f18c,A-ed5(10f,2023-03-31,2023-04-02 16:00:00,64,high,137,NA,FALSE 
T-4C7B15,A-443F6F,2023-01-22,2023-01-24 02:00:00 ,50,LOW,126,5,FALSE
.t-ca36f7,a-812c5b,2023-02-28,2023-03-01 14:00:00 ,38,high,108,4,false
&T-a1bab0,A-45ce7a,2023-04-25,2023-04-27 02:00:00,50,m!edium,141 ,4,FALSE
T-5daa6@c,A-f44180 ,2024-04-28,2024-04-29 08:00:00,32,low,NA,5,FALSE
T-e^a0979,A$-855a48,2024-06-30,2024-07-01 14:00:00 ,38 ,urgent,177,NA ,FALSE
T-308071,A-f51f16 ,2023-04-16,2023-04-17 11:00:00,35,high,10,3,FALSE
t-ed091b,NA,2023-08-12,2023-08-14 10:00:00,NA,medium,NA,4,false
T-fd14d8,A-751c58,2023-06-21,2023-06-23 01:00:00,NA,medium,178,NA,NA
T-3a3a53,A-!1!3(9c3b,2024-12-18,2024-12-19 02:00:00,26,med*ium,89,5,FALSE
T-35ae60,%A-^7641d3,2023-12-17 ,2023-12-19 22:00:00,NA,NA,174,NA,FALSE
T-93f5f0,A-3@c1a3f,2023-08-04,2023-08-04 05:00:00,5,l_o+w,20,NA,FALSE
T-0a835d ,A-0aa@f6e,2023-11-06,2023-11-08 08:00:00 ,56,low,NA,NA,FALSE
T-a7^9931,A-b*17*9bf,2023-08-23,2023-08-25 05:00:00,53,low,94,4,FALSE
T-54b348 ,A-50f3f)7,2023-05-31,2023-06-02 07:00:00,55 ,+lo)w,41,NA ,FALSE
T-ee7.7ae,A-8ed5dd,2024-05-17,2024-05-19 03:00:00,51,low,87,NA,FALSE
T+-_fb798a,A-8bde0c,2024-11-07,2024-11-07 09:00:00,9,medium,64,NA,FALSE
NA,_A-bb3b*d4,2023-02-18,2023-02-19 11:00:00,35,NA,65,NA,FALSE
T-6de710,A&-7da956,2024-02-04,2024-02-05 18:00:00,42 ,low,55,NA,FALSE
%T-d319e4 ,A-eb)7c38,2024-03-04,2024-03-05 01:00:00,25,!low,46,NA,FALSE
T-041287,A-34ea2f ,2024-07-15,2024-07-17 22:00:00,70,urgent,NA,4 ,FALSE
T-49&6)c6b,A-1e1b80,2024-08-23,2024-08-25 21:00:00,69,l_ow,150 ,NA,FALSE
T-d9-2(e2e,A!-71!2426 ,NA,2024-07-20 19:00:00,67,NA,67,4,FALSE
T-6f8270,A.-dbc825,2023-11-11,2023-11-14,72,high,118,3,FALSE
T-2a21f8,NA,NA,2024-05-30 08:00:00,8,medium,NA,4,FALSE
T-.08e86b,A-9f9299,2023-10-05,2023-10-05 03:00:00,3,NA,160,NA,FALSE
T-b(dbc42 ,A-31a!b9a,NA,2024-09-11 14:00:00,62,urg@ent,90,4,FALSE
T-996921,A-75(1%bd4,2024-11-13,2024-11-14 17:00:00,41,urgent,124,5,FALSE
T-c722ef,A-ce.d9a!a,2023-09-17,2023-09-17 18:00:00,18,low,69,NA,FALSE
T-100066,A-7f6b86,2023-01-11,2023-01-13,48,hig.h,166,NA,FALSE
T-51307e,A-b@78bf8,2023-09-15,2023-09-16 16:00:00,40,lo_w,93,5,FALSE
!T-+e545b2,A-dfbd_31,2024-01-09,2024-01-10 21:00:00,45,lo^w,158,5,FALSE
T-5a4%02d,NA,2023-04-25,2023-04-27 15:00:00,63 ,low,138,3,FALSE 
T-287b04,NA,2023-05-07 ,2023-05-08 01:00:00,25,NA,11,NA,FALSE
T-2c61f3,NA,2024-06-29 ,2024-06-29 16:00:00,16,high,NA,3,FALSE 
T-c2b413,A-^90a8c8,2024-03-31,2024-04-02 22:00:00,70,-urg)ent ,13,3,FALSE 
T-a7489c,A-7e0a10,NA,2024-01-26 20:00:00,68,hig%h,72,NA ,FALSE
T-01%1d5c,A-a!09355,2023-05-13,2023-05-15 15:00:00,63,NA,34,3,FALSE
_T-af$4249,A-dec005,2023-10-02 ,2023-10-04 18:00:00,66,low,180,3 ,FALSE
T-2904e8,NA,2024-11-11,2024-11-11 20:00:00,NA,l&ow,144,NA,FALSE
T-a9333e,NA,2024-09-06,2024-09-09,72,-medium,77,NA,FALSE
T-4d5bca,A-970c97,NA,NA,61,ur.gent,139 ,5,FALSE
T-f0d824,A%-b9f5b1,2023-12-01 ,2023-12-02 04:00:00,28,urgen!t,165,3,FALSE
T-05b5f.6,NA,2024-03-05,2024-03-06 16:00:00,40,high,137,NA,FALSE
T(-2465#1*0 ,A-BB3BD4,2024-09-29,2024-09-30 17:00:00,NA,HIGH,160,5,FALSE
T-e7f66c,A-241e75,2023-04-25,2023-04-27 04:00:00,52,l&ow,136,NA,NA
NA,NA,2023-10-10,NA,61,med%ium,NA,3,FALSE
T-&0e3%932,A*-118d55,2024-12-09,2024-12-09 11:00:00,11,medium,32,4 ,FALSE
T-52fd00,A-0532a$9,2023-01-29,2023-01-29 07:00:00,7,medium,49,NA,FALSE
T-d5e01b,A-de@24.d5,NA,2023-12-29 01:00:00,1,high,177,NA,NA
T-5a7$65e,NA,2024-02-27,2024-02-29 23:00:00,71,high,38,5,FALSE
T-1bc08+6,NA,NA,2023-09-15 01:00:00 ,NA,ur)gen-t,92,NA,FALSE
T-30^ab22 ,A-65aeb5,2023-09-01,2023-09-03 05:00:00 ,NA,high,146,5,FALSE 
T&-a1ebca ,A-7124@26 ,2024-12-10,2024-12-11 08:00:00,32,me#diu$m,43,4,FALSE
T-d&9e5%88,NA,2024-08-01 ,NA,7,low,117,3,FALSE
T-7$65@765,A-4437e4,NA,2023-08-14 20:00:00,44,high,120,NA,FALSE
NA,A-c42.f1f,2023-10-31,2023-10-31 08:00:00,8,low,NA,3,FALSE
NA,)A-_8adedc,NA,2023-05-24 18:00:00,66,#medium,62,NA,FALSE
T&-EC46@9^A,A-E4BF56,2023-07-10,2023-07-12 04:00:00,52,URGENT,72,5,FALSE
T-d1c41b,A-98a59a,2023-03-22,2023-03-23,24,^high,68,NA,FALSE
T-$09053-4,A#-cc8c8f,2023-11-30,2023-11-30 07:00:00,7,urg^ent,143,4,NA
T-367cc3,A-b7b7b7,2024-08-31,2024-08-31 01:00:00,1 ,NA,159,5,FALSE
T-f86*b!35,A-1)39@c3b,NA,2024-09-13 11:00:00 ,11,NA,108,NA,FALSE
T-e2.3a37,*A(-855a48,2023-05-11,2023-05-11 13:00:00,13,high,55,NA,FALSE
T-776916,NA,2023-06-12,2023-06-14 17:00:00,65,NA,12,5,FALSE
T-0&854f6,A-310452,2024-01-31,2024-02-02 19:00:00,67,urgent,NA,3,FALSE
^T-2c34c5 ,A-03$43(68,2023-08-29,2023-08-31 17:00:00,65,NA,34,5,FALSE
T-270-c25,A-.8%1edc3,2023-12-19,2023-12-21 21:00:00,69,high,56,NA,FALSE
.T-f3e69b,A-b7ef+83,2024-10-03,2024-10-05 19:00:00,NA,medium,70,NA,FALSE
T-2987d9,A-50_f3f7,2023-04-17,2023-04-18 06:00:00,30,u%rgent,155,5,TRUE
T-da!63ee ,A-149a69 ,NA,2023-01-31 09:00:00,33,NA,79,5,FALSE 
T-&44b600,A-eaf-c6e,2023-07-14,2023-07-16 16:00:00,64,medium,136 ,NA,FALSE
T-!4d0d5b,+A-5a215a,2024-12-06,2024-12-06 12:00:00,12,urgent,126,4,FALSE
T-7cca37,$A-#dbc825,2024-10-02,2024-10-03 16:00:00,40,NA,128 ,NA,TRUE
T-122749,A-4e960a,NA,2024-01-15 19:00:00,43,low,77,NA,FALSE
T-27d*61d,A-c7e58b,2024-01-25,2024-01-25 13:00:00,NA,med*ium,171,4,FALSE 
NA,NA,2023-10-29,2023-10-31 03:00:00,51,h*ig#h,129,NA,NA
*T-1$3+e2c4,A-92a3af,2024-03-17,2024-03-19 23:00:00,71,medium,NA,5 ,FALSE
T-df9759,A-b7724f,2024-12-30,2024-12-30 15:00:00,15,mediu#m,86,3,FALSE
T-c#5+56)c^6,NA,2024-11-21,NA,50,hi_gh,39,4,FALSE
T-e57_82#8,A-883$b7d,2023-04-16,2023-04-17 19:00:00,43,high,NA,NA,FALSE
T-fc25d0,A-fd7ad%3,2024-08-17,2024-08-19 13:00:00,61,hi&gh,138,NA,FALSE
T-743f15,_A-d+49cc5,2024-12-21,2024-12-23 16:00:00,64,urgent,2,NA,NA
T-9bbea1,A-b54c01,2023-02-06 ,2023-02-08 04:00:00,52,low,172,NA,FALSE
T-9bf6+4e,A-3ce5$b8,2023-10-07,2023-10-08 05:00:00,29,high,87,NA,FALSE
T-7cefd9 ,A-7^920c-c,2023-03-31,2023-04-02 15:00:00,63,me&d.iu!m,146,5 ,FALSE
T-9*717fc,A-cea1f%0,2024-05-11,2024-05-13 09:00:00,57,medium,145,NA,FALSE
T-.b43464,A_-08e34e,NA,2024-07-17 20:00:00,68,hig)h,67,3,FALSE
t-29)abed,a-cd458b,NA,NA,50 ,urg*ent,39 ,5,false
T-4$e#24d&4,+A-b3fe0@5,2023-05-29,2023-05-31 18:00:00,66 ,-urge#nt,75,NA,FALSE
T-990f20,A-6a7c9d,2024-08-15 ,2024-08-16 04:00:00,NA,medium,42,3,FALSE
T-618d10,A-af!a505,NA,2024-09-25 19:00:00,19,urgent,130,NA,FALSE
^T-9^736d7,NA,2023-08-12,2023-08-12 19:00:00 ,19,medium,66,NA,FALSE
NA,A-4c38bc,2024-07-27,NA,66,medium,37,4,FALSE
NA,A-fa-3095,2023-05-25,NA,50,h#igh,98,NA,FALSE
T--92&6ee8 ,A-5a92e7,2023-06-17,2023-06-19 20:00:00 ,68,high,NA,5,FALSE
