subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,FALSE,FALSE,FALSE,TRUE,an_nu^al,TRUE
.S-&3cc352,A-d27f5-0,2024-08-06,NA,Pro,44,NA,25872,NA,FALSE,FALSE,FALSE,monthly,TRUE
S-12420.7,A-FDFC91,2023-08-31,NA,BASI(C,29 ,551,6612 ,FALSE,NA,FALSE,FALSE,ANNUAL,NA
S-76e7d9,A$-712f1c,2024-02-09,NA,Enterprise,44,8756,105072,FALSE ,FALSE,FALSE,FALSE ,.monthly,TRUE
NA,NA,2024-02-10,NA,Enterprise,20,NA,47760,FALSE,NA,FALSE,FALSE,monthly,TRUE
S-0!3a97f,NA,2024-03-15,NA,P%r%o,60,2940,35280,FALSE,NA,NA,FALSE,annual,TRUE
S-80c#01c,A-d3c88e,2024-12-16,NA,Basi*c,16,304,3648,FALSE,TRUE,FALSE,FALSE,annual,TRUE
S-66.618(1 ,A-e&b1)312,2024-10-09 ,NA,Basi&c,71,NA,16188,FALSE,FALSE,FALSE,FALSE,ann*ual,TRUE
S-401496,A-68f37_c,2023-08-13,2024-06-22 ,Ente%rprise,4 ,796,9552,FALSE,TRUE,FALSE,TRUE,^monthly,TRUE
S$-c+a0@c98,^A@-fda07f,2024-11-28,NA,Pro,7,343,4116,FALSE,NA,NA,FALSE,NA,TRUE
S-017e33,NA,2024-11-08,2024-11-25 ,Basic,53,1007,12084,FALSE,NA,FALSE ,TRUE ,m^ont#hly,TRUE
S-183!073,&A-e7a1e2,2024-07-19,NA ,Enterpr%ise,14,2786,33432,FALSE,FALSE,FALSE,FALSE,NA,TRUE
S-22$f503,A-7a0d69,2024-09-06,NA,B-asic,6,114,1368,FALSE,FALSE,FALSE,FALSE,a(n#nual,NA
S-!7de@1b7,A+-$4d1e+7^5,2024-10-27,NA,Enterpris(e,20 ,3980,47760,FALSE,FALSE,FALSE,FALSE,annual,TRUE 
S-c7f564,A-902ef7,NA,NA,Pro,83,0,0 ,TRUE,TRUE,FALSE,FALSE,annual,TRUE
S-&ce$ffe!9 ,A-89ee83,NA,NA,Enterpri)se ,2,398,4776,FALSE,FALSE,FALSE,FALSE,monthly,TRUE 
S^-9b2c95,A-e60f9d,2024-11-24,NA,Pro,NA,0,0,TRUE,FALSE,FALSE,TRUE,annual,TRUE 
S-cf6ec1,A-d77_f4c,2024-08-04,NA,En&terprise,22,4378,52536 ,FALSE,TRUE,FALSE,FALSE,monthly,FALSE
S-a4+4d72,A-b30291,2024-06-12,NA,Pro,18,882,10584,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
NA,A-)180abf ,2024-01-17,2024-04-19,Basi*c,64,0 ,0 ,TRUE,FALSE,FALSE,TRUE,annual ,TRUE
S-02af5d,A-d82ef9,NA,NA,^E-nterprise,26,0 ,NA,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-d07c53,_A#-249769,2024-09-24,NA,Basic,21,NA,4788,NA,FALSE,FALSE,FALSE,annua$l,TRUE
NA,A-_eb2f-dc ,2024-02-24,NA,NA,NA,1519 ,18228 ,FALSE,FALSE,FALSE ,FALSE,monthly,FALSE
S-5d68fb,NA,NA,NA,Pro,49,2401,28812,NA,FALSE,FALSE ,FALSE,annual,TRUE
S-fc9cc3,A-9b9f^e9,NA,NA ,Pr+o ,24,1176,14112,FALSE,FALSE,FALSE ,FALSE,annual,TRUE
S-17f71d,A-e40f.45,2024-05-15 ,NA,Pro,44 ,2156,25872,FALSE,TRUE,FALSE,NA,month!ly,TRUE
s-5895f0,-a-bcf664,2023-10-05 ,NA,basi*c,8,0,NA,true ,false,false,false,annual,true
S-b042d9,A-0e966d,2024-11-15,NA,Enterprise,11,NA,26268 ,FALSE,FALSE,FALSE,FALSE,ann^ual,TRUE
S-ffd1ee ,A-f03140,2024-11-06,NA,Pro,27,0,0,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-9c4bcd,A-a7b#d4b,2024-05-14,NA,Pro,5,245,NA,FALSE ,NA,FALSE,FALSE,monthly,NA
S-4f91d0,+A-^7f8241,2024-10-12 ,NA ,Basi-c,NA,646 ,7752,FALSE,FALSE,NA,FALSE,monthly,FALSE
S-672f1-b ,A-+eafc6e,2023-08-08,NA,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,m%onthly,TRUE
S-101201,A-d49cc5 ,2024-02-13,NA,B^asic,50,950,11400,FALSE,FALSE,FALSE,FALSE,an(nu!a+l,TRUE
S-eea*6_43,A-54ecc2,2024-10-30,NA,Enter!prise,28,5572,66864,FALSE,FALSE,FALSE,FALSE,monthly,NA
S-5f9a67,A-%6d%a850,2023-12-04,NA ,Pro,NA,245,2940,FALSE,FALSE,FALSE,FALSE,annua*l,TRUE 
S-327e7c,A)-4e960a,2024-02-07,NA,Enterp+rise,17,0,0,TRUE,FALSE,FALSE,FALSE,annu*al,NA
NA,#A-_533452,2024-11-25 ,NA,NA,101,4949,59388,FALSE,FALSE ,FALSE,FALSE,monthly,TRUE
S+-029c20 ,+A-f44(1@80,NA,NA,Basic,10,0,0,TRUE,FALSE,FALSE,FALSE,ann%ua@l,FALSE
S-&a74^4)62,A-7c8#3a1,2024-05-14,NA,Pro ,NA,2352,NA,FALSE ,FALSE,FALSE,FALSE,annua%l,TRUE
S-02e+c76,A-e60f9d,2024-09-17,NA,Pro ,29,1421,17052 ,FALSE,NA,FALSE,FALSE,m!onthly,TRUE
S-d1c9e3,A-075@038,2024-01-09,NA,Basi@c ,17,323,3876,FALSE,FALSE,FALSE,FALSE,&ann&ual,TRUE
+S@-51$d8db,A-c_c1d8d ,2024-12-30,NA,%Enterprise,6,1194,14328,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S*-c3c85e,NA,2024-10-31,NA,Basic,38,722,8664,FALSE,FALSE,FALSE,FALSE,monthly ,TRUE
S-44&a6@46 ,NA,NA,NA,Basic,NA,950 ,11400,FALSE,FALSE,FALSE,FALSE,a$nn+ual,TRUE
S-431c03,&A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,FALSE,FALSE,FALSE,TRUE,monthly ,TRUE
NA,A$-ff79f2 ,2024-12-31,2024-12-31,Ent!erprise,19,3781,45372,FALSE,FALSE,NA,NA,an.nual,TRUE
S-6c9ee1,-A*-6da850,NA,NA,&Ente!rpr@i)se,23,0,0,TRUE,FALSE,FALSE,FALSE,NA,TRUE 
S-396a84 ,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,NA,4788 ,FALSE,FALSE,FALSE,TRUE ,monthly,FALSE
NA,A-3f9c+c#0,2024-07-06,NA ,Basic,22,0,0,TRUE,FALSE,FALSE,FALSE,mon!thly,TRUE
NA,A-d4a(c0e ,NA,NA,Bas.ic,28,532,6384,FALSE,FALSE,FALSE,FALSE,annual,TRUE
^S-33&e40+e,A-8%6cd!b4,2024-10-10,2024-12-29 ,NA,2,398,NA,FALSE,FALSE,FALSE,NA,annual,TRUE
S^-FBD_522,NA,2024-12-28,NA,PRO,9,0,0,TRUE,FALSE,FALSE,FALSE,ANNUA.L ,FALSE
S-bbafad,A-854864,2024-12-27,2024-12-30,NA,20,380,4560,FALSE,FALSE ,FALSE,TRUE,annual ,TRUE
%S-3edc14,A*-d82ef9,2024-10-04,NA,Pro,26,0,NA,TRUE,FALSE,FALSE,FALSE,annual,TRUE
S-11e29d,A-71615e,2024-10-13,NA,Basic,NA,608,7296,FALSE ,FALSE,FALSE,FALSE,monthly,TRUE
NA,A-5fe118,2024-12-06,NA,Ent^erprise,39,7761,93132,NA,FALSE ,FALSE,FALSE,annua^l ,TRUE
S-#61e86c,A-39ddf4 ,2024-12-07,NA ,Enterprise,40,7960,95520,FALSE,FALSE,FALSE,FALSE,ann+ual,TRUE
S-af41f.0,A-e83938,2024-06-27,NA,Basic,2 ,NA,456,FALSE,FALSE,FALSE,NA,annual,FALSE
S-65ae02,A-6+71f31,2024-12-14,NA,Pro,59,2891,34692,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-f7fccd,A-443b7%c,2024-11-18,NA,Basic,6,0 ,0,TRUE,TRUE,FALSE,FALSE ,annua.l,TRUE
NA,A-d-4e0d4,2024-11-30,2024-12-03,Enterpri(se,117,23283,NA,FALSE,FALSE,FALSE,TRUE,NA,NA
S-48a54e,A-b2225d,NA,NA,Basic,47,NA,0,NA,FALSE,FALSE,FALSE,mont*hly,NA
s-4a_08bd ,a-@e08cd_3,2024-10-11,NA,NA,67,3283,39396,false,false,false ,false,annual,false
&S-FAA8^E!C,A-2)E45.81 ,2024-12-09,NA,BASIC ,11,209,2508,NA,FALSE,FALSE,FALSE,M@ONTHLY,TRUE 
S-8!d%b104,A-4)a&267b,2024-10-18,NA,Pro,25,1225,14700,FALSE,FALSE ,TRUE,NA,&monthly,TRUE
S-3c-0121 ,A-7c83a1,2024-12-30,NA,Pro ,24,1176,14112,NA,FALSE,FALSE,FALSE,monthly,TRUE
S-13ca&37 ,A-6843f2,2024-12-21,NA,Pro ,21,0,NA,TRUE,FALSE,TRUE,FALSE ,mon)thly,TRUE
S-.163e64,A-dfbd3*1,NA,NA,Ente@rprise,62,12338,148056,FALSE,FALSE,FALSE,FALSE,.monthly,TRUE
-S-4d1ba6,A-0!0cac8,NA,NA,Enterprise,9,0 ,0,TRUE,FALSE,FALSE,FALSE,annual,FALSE
S-e%98d6b,A-309e54,2024-12-31,NA,Basic ,15,285,3420,FALSE,FALSE,FALSE,FALSE,NA,TRUE
S(-041624,A-6%8_43f2,2024-12-12 ,NA ,Enterprise,21,4179,50148,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-#b78829,A-2e458#1,2024-11-12,NA,Pro,20,980,11760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE
S-^ca1c21,A-f92792,2024-12-02,NA,NA,9,0,0,TRUE,FALSE,FALSE,FALSE,_annua-l,FALSE
S@-e1de58,A-_ce550d,2024-10-28 ,NA,Enterp@ri_se,35,6965,83580,FALSE,TRUE,FALSE,FALSE,)annual,TRUE
NA,A_-#f6b2^fb ,2024-05-23,NA ,Pro,23,1127 ,13524,FALSE ,FALSE,TRUE,FALSE,monthly,TRUE
S-eaac58,NA,2023-04-08 ,NA,$Basic,NA,1254,15048,FALSE,FALSE,FALSE,FALSE,annual,NA
S-121^8fd,A-2$d4502 ,2024-11-02,NA,Basic,14 ,266 ,3192,FALSE,TRUE,FALSE,FALSE,monthly ,FALSE
S-936732,A-2f(6a32,2024-11-28,NA,P^ro,19,931,11172,FALSE ,FALSE,FALSE,TRUE,annual,TRUE
S-C2F2%93,A-69B156,2024-12-10,2024-12-30,BASIC,8,152,1824 ,FALSE,FALSE,FALSE ,TRUE,MONTHLY,FALSE 
