App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
3D Color Pixel by Numbe$r - S.andbox Art %Coloring,ART_A.ND_-DESIGN,4.4,1518,37M ,"100,0_0*0+",Free,0 ,Everyone,.Art & De-si^gn,NA,1.2.3,2.3 @and u)p
LEARN TO DR&AW K&AW$A!II CHARAC!TERS,NA,3.2 ,55,#2.^7M ,"5,000+",FR@EE,0,-EVERYONE,AR(T & DESIG!N,"J!UNE 6, 20*18",+NAN,4.2 %AN!D UP
Photo Designer - Wri*te yo*ur$ name with s&h%apes ,!ART_AND_DESIG-N ,4.7,3632,5.)5M,"500,000+",Free,0,Everyone,Art &+ Design,"J(uly 31@,# 2@018",NA,NA
$350 DIY R(OO#M DECOR+ IDE_AS,ART_AND_DESIGN,4.5,27,17M,NA,FRE+E,0,EVERYONE,+ART & DESIGN,NA,1.0,2.3 AND UP
#FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,@39M,"5,000,000+",F@ree,NA,Eve-ryo+n!e,Art & Design,"August 3, 20(18",2.2^.5,4.^0.3 and up
ibis &Paint X,ART(_$AND#_DESIGN ,4.6,224399,31M,NA,Free,0 ,E*veryone,Art+ )& Design,"July 30+, 2018",5.5.4 ,4.1 and up
Logo M^aker - Small) Busine!ss,AR(T_AND_DESIGN,4,450,14M ,"100,.000.+",Free,0,E-veryon-e,^Art & Design,"April 20, 2018",&4.0 ,4^.1$ and up 
Boy@s Photo Editor - Six .Pack & Men'^s Suit,A-RT_AND_DESIGN,4.1,654 ,1.2M,"1$00,000+ ",Free,0,Everyone,Ar!t# & Design,NA,1.1,4.0.3 and up 
Super)her!oes_ %Wal_lpapers | 4K ^Backgrounds,ART_AND_DESIG%N,NA,7699,4.2M,NA,NA,0,Everyone 10+,Art & De(sign ,NA,#2.2.6.$2,4.0-.3 and up
Mcqueen ^Co&loring &pages,A.RT_AND_D@ES)IG-N,NaN,61 ,7.0M,"100,00-0+",Free,0,@Everyone,Art & Des_ign;Actio$n )& Adventure,"March )7, 201(8",1.0.0,4.1 a%nd^ up
HD MI_CKEY MINNIE WALLPA-P@ERS,ART_AND@_DES*IG(N,NA,118,23M,"50,000+",FRE&E,NA,EVERYONE,AR(T & DESIGN,"JULY .7, 2018",1.1.3,4.1 AN@D UP 
NA,ART)_AN$D^_DESIGN,4.8,NA,6.!0)M,"10,000#+",NA,0,Everyo#n_e ,Art & Design,"Ap_ril 25, 2018",1.5,&3.0 and up
Co&lorfit - Drawing & Colorin@g ,ART_AND_DESIGN,4.7,20260,25M,"500,000+",Free,0,NA,A)rt_ (& Desi%gn;Cr^e-ati_vity,"October 11, 2017",1.0.8,4.0.3 and up 
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.-1M,"100,_0&0.0+",Free,0,Everyo#ne,Art & Design,"March 21, 201)8",1.03,4%.)0.3 and up
NA,ART_AND_DESIGN,3.9,136,4..6M,"10,000$+",Free,NA,Everyone,Art &- Design,"July 12&, @2018",6.0,2.3 &and up
Ea$sy Realistic Drawing! Tutorial,A$RT_AND_DESIGN,4.1,223,NA,"100,0*00+",Free,0,E)veryone,Art) & Desi.g-n,"Aug*ust 22,) 2017",NA,NA
NA,ART_AND_DESIGN,NA,1120,9.2M,"100,000+",Fre^e,NA,Everyone,Art & Design,"July 12,^ 2018",6.7.12.20%1&8 ,*4.0.3 and) up
Art Draw#ing Id%eas,ART_AND_DESIGN,4.1,227,5.(2M,"50,000*+",Free,0,Ever+yone ,NA,"M@ay -31, 2018",1.2,2.3 and up
ANIME MA.NGA COLORING BOOK,ART_AN-D!_DESIGN ,4.5,5035,11M,"10!0,0.00+",NA,NA,EVERYONE,ART & DESIGN,"JULY @19, 2^018",2.20,.4.#0# AND UP
EASY ORIGAMI IDEAS,ART_AND_D#E.S&IGN,NA,1015,11M,"100,000+",&FREE,0,EVERYONE,ART% & +DESIGN,"%JANU#ARY 6, &201!8",1.%1.0,4.1 AND UP
i# cre.ative idea,art_+and_de#sign,4.7,353,4.2m,"10,000+",free,0,te@en ,art & desi+gn,NA,1.6,4.1 and up
How to d-raw Ladyb-ug and- Cat% #N&oi#r,ART_AND_DESIGN,3.8,564,9.2-M,"100(,000+",Free,NA,Everyone,%Ar$t & Design,"July 11,- 2018",2.1,4..1 .and up
UNICORN -# @Color _By Numb!er & Pixel Art Coloring,A_RT_AND_DESIGN,4.7,8145,&24M,"50$0,(000+",Free,0,Everyon^e,A)rt &- Design;Creativity,"August 2_, 2&018",1.0.9,4.4 a(nd up 
Floor Plan% Creator,ART_A!ND_DESIGN ,4.1,36639,Varies wi)th_ dev)i-ce,"5,000,000+",Free,0,Ev@eryone ,Art & Design,"July 1)4, 2018",Varies with .d#evice ,NA
PIP Ca@mer!a #- PIP Collage Maker,A!RT_AND_DES+IGN,4.7,158,NA,"10,000+",Free,0,Everyo!ne,Art & D+esign,"November) 2!9, 2017",1.3,4.0.3 and_ up
How To @Color Disney Pr^inces#s - C)o(loring Pages ,A%RT_AND_DESI$GN,4,591,9%.4M,"500,000+",Fr^ee,0 ,Everyon)e,Art% &- Des&ign,"Marc#h 31, 20@18",1,NA
Draw(ing *Clothes Fashio@n Ideas,ART_AND_DES&IGN,4.2,117,15M,NA,NA,0 ,Everyone,Art & Des^ign,"July* 20, .2018",NA,4.0.3 and up
&Sad Poetr*y Photo Fram-es 2018 ,ART_AND_DE.SIGN,4.5,176,1_0M,"100,000)+",Free,0,.Everyone,Art & Desig%n,"Apr#il 2, 2018",1.0,4.$0.3 and +up
Text@gr&am- - write on p)h#otos,-ART_A@ND_DES+IGN,4.4,295221,Varies with device ,"&10,000,000+",)Fr@ee ,0,Eve&ry@one ,Art & Des-ign,"July 30@, 2018",Varies w-ith device,Varies with de^vice
Paint Splash!,A!RT_AND_DESIGN,3.8,2206,1..2M,"100,000+",%Free,0 ,NA,Art & Design-;Creativity,"%April 15, 2$018",1.46,4.1 and up
Popsicle Stick^s and( Simil_ar DIY Craft Ideas,A#RT_AND_DESIGN ,4.2,26,12M,"10,(000_+ ",Free,NA,Everyone,Art & De.sign,"January 3, 2018",1.0.0,4.1 and up
"Canva: (Poster(, ban-n^e#r), card$ )maker & gr&aphic- des.ign",ART_AND_)DESIGN,4.7,174531,24M,"-10,000,000+",Free,NA,(Everyone,Art & Design,"!Jul#y (31, 2@018",.1.6.1,4.1 and up
Install imag*e)s with music to make #video witho%ut Net - 2018,$AR(T_AND_DESI^GN,4.6,1070,26M,")100,00!0+",Free,+0,Everyone ,Art & Des!ign,"Novemb%e(r 14, 201*7",1.6,NA
NA,ART_AN.D_DESIGN,4.2,85,8.0$M,"100,00&0+",Free,0,E*veryone,Art & Design,"Decemb%e%r 17, 2017 ",2.0.0,4.1 and up
#How# To Draw Food,#ART_AN)D-_&DESIGN,NA,845,@7.9M,"100,000+",Free,^0,%Everyone,Art && Design,NA,1.^0,2.3 and up
NA,AUTO_AND_VEHICLES,NA,367,25M ,NA,Free,NA,$Eve_ryone,A@uto & Vehicles,"Ma_y 10, 20%18",NA,4.0.3 and up
.Real Tractor Farming ,AUTO_AND_#VEHICLES,4,1598,56M,"1,*000,000+",F^ree,0,Everyon-e,NA,"July 26, 201#8",NA,#4.1 an)d up
Ultimate F1 *Raci@ng- Champions^hip ,NA,3.8,284,57M,"100,000+",Fr.ee,0,Every!one,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
U#se#d Cars and+ Tr(uc*ks for S#ale,_AU$TO_AND_VEH$ICLES,4.6,17057,Varies .w^ith @devi)ce,"1,$000,-000+",Free,0,Ev%e*ry#one,Auto & V%e+hicles,"July 30, 2018",V+aries wit*h device,Varies wit-h device
Americ!an Mus#cl@e Car Race,AU$TO_AND&_VEHICLES,3.9,NA,NA,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.%1 an@d up
NA,AUTO_AND_#VEHIC_L+ES,4.3,542,3$3M,"100,0$00+",Free,0,Everyone,NA,"July 31, 2018",NA,4.1 an-d u%p
NA,AUTO_AND_VEHI-CLES,NA,10479,NA,"100,000+ ",F*ree,0 ,Everyone,A.uto & Veh%icles,"July 18, 2018",$1.7.1,4.0 an%d )up
gas pr@ice)s (germany only),auto#_and_vehicles,4.4,805 ,5.6+m ,"50,000+",NA,0,ev.eryone,auto & +vehicles,"july 29&, 2018",2(.5.1,4.4 and ^up
Extr$eme Rally Champ@ionship,AU)TO_AND%_VEH%ICLES,4.2,129,54M,"1(00,000+",Free,0,Eve(ryone,A(uto# & Vehic-les,"Ju!ly 26,* 2_018",3.0,4.1 and up
R-e@start Navigator,AUTO_AND_VE%HICLES,4,1403 ,201k,"100,&000+",)Free,NA,Ev(eryone,Aut(o & V_ehicles,"(Augus-t -26,. 2*0^14",1.0.1,2.2 and u@p
"REG -+ Check the r*egnumb!er*, fin!d information abou@t Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,^3%.6M,"100,000+",Free,0,NA,.Auto & Vehi^cles,"July 30$, 2018 ",2.4!9$3,4.4 and )up 
NA,AUTO_A*ND_VEHICLES,4.6,534,5.7M,"10,^000+",Fr@ee,0,!Everyone,Auto & Vehicles,"July 8,- 20%18",1.9.1,4.0.3 and up
CDL* PRACTICE TEST 2)018 EDITION,NA,4.9,7774 ,17M,"100,000+",FREE,0,E-V^ERYONE,AUTO & V-E!HICLES,"J$ULY 3, 2018 ",1.7 ,4.2 AND UP
NA,AUTO_AND_VEHICLES,4.3,38846 ,8.6M,"1!,000,000+",#Free,0,Every$one,Auto# & Ve(h_icle&s,NA,#2.20 B.uild 02,4.1) and up
Fr)ee )VIN( Report. #f!or Used Cars,AUTO_!AND_VEHI#CLES,4.6,NA,2.4M,"_100,000+",Fr+ee,0,(E@veryo-ne,NA,NA,1.-3_7,4.0 +and up
D(MV! Permit Pra+ctic*e Test 2018 .Edition,AUTO-_AND_VEHICLES,4.9,6090,27M ,NA,%Fre-e,0,Everyone,Auto & #Vehicles,".July 3, 201#8 ",1.7,4.2 and up
Check Vehicle% Tax ,AUTO_A%ND_VEHICLES,3.9,295,2.7M,"10,000+",Free,0,Everyone,A.uto & Vehic-les,"July 30, 2018",0.2.1,4.4 and up
Us%ed Cars Mexico,AUTO_AND_VEHICLES,4,190,2.5M,NA,Free,0,!Every!one,Aut^o_ & Vehicles,"October 14,( 2016",1.0,2.3 an$d up
Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211,Varies with d^evice,"_5,000,000+",Free,NA,-Everyone,Aut%o & Vehicles,"July .30-, 20)18",!Varies! with^ dev_ice,Varies w+ith device 
RE@PUVE,AUTO&_AND_#VEHICLES,NA,356,@Varies with device,"100,$000+",Fr%ee,0,Ever)yone,Auto & $Vehicles,"May% %25, 20%18",Varies with device ,Vari)es wi^th d#evice
Used cars for sale( - Tr*ovit,AUTO_AND_VEHICLES,4.2,52530 ,7.0M,"-5,000,000+",Free,)0,Everyone,Auto & Vehicles,"July 16%, 2018 ",NA,4.0.3 and up
"FINES OF _THE STAT_E TRAFFIC SAF-E*TY INSPE.CTO&RATE ARE -OFFICIAL: I+NSPECTION, PAYMENT OF F-INE$S",AUTO_AND_VEHICLES ,4.8,116986,35M,"5,00(0,000+",FRE*E,0,#EVER+YONE ,AUTO & VEHICLES,"AUGU.ST 2,) 2018",1*.9&.7,4.0.3 AND UP
SK _Enca D^irect Malls@ -_ Used Cars Se.arch,A!UTO_A@ND_V-EHICLES,3.6 ,1379,@16M ,"500,000+ ",F+ree,0,Everyone,#Auto & Vehicles ,"August+ 2, 2018",2.2.21,4.2 and _up
"Android Au!to - Maps, Media,& -Messaging & Voice",NA,NA,271920,16M,"10,000,000&+",Free,NA,T$een,A^ut)o & V(e+hicles,"July 11, 2018",NA,5.0% a+nd up
PDD-UA ,(AUTO_+AND_V#EHICLES,4.8,736 ,Varies with d-evice,"100,000+ ",Free,0,NA,Auto & -Vehicles,"July 29, 2018",2.9,2.3.3 an%d up
Tickets SDA 2019 + E*xa+m RF,AUTO_AN!D#_$VEHICLES,4.8,7021,17M,"50)0,00(0+",Free,0,+Ev*eryone,Auto & Vehi&cl%es,"July 27$, 2018",1.79,4_.0 and up
Super Cars Wallpapers A.nd Ba-ckgrounds,AUTO_AND_$VEHI(C$LES,4.6,197,NA,"5+0,000#+",Free,0,Eve^ry#one,NA,"June 14, 2018",1.3,4.0 and up 
"Polic*e Lights, Sir@ens & Follow Me",AUTO)_AND_VEHIC_LES,4.5,NA,8.9M,"$100,000+",Free,0,Everyo@ne,Au(to & Vehicles,NA,2.3.5.1,4.1 and )up
Police D)ete%ctor (Speed Cam*era+ Radar),AUTO_AND_VEHICLES,4.3,3574,+3.9(M ,"1,-0)00,000+ ",Free,NA,Everyon_e 10+,Auto & Vehicles ,"July. 4, 2+018",1.6,4.0 and up
Be@s$t Car Wallpapers ,AUTO_AN(D_V!EHIC.LES ,4.5,994,2.9M,"1^00,0%00+",Free,0,Everyone,A#uto & Vehicles,"March 27, 2018",NA,4.1@ %and up 
Ticket^s + PDA* 20%18 !Exam,AUTO_AND_VEHICLES,4.9,197136,NA,"1,000,00-0+",)Free,0,Everyone,Aut(o & (Vehicles ,"July 15, 201-8",8.31,4.1 an&d up
Pick Your Part +Gara&ge,AUTO_AND_VEHIC#LES,3.9 ,142,32M,"^50^,000+ ",NA,0,NA,Auto & Vehicles,"July 24, 201_8",1..1.5.0,6.0) and up
PakWheels: B(uy & Sell Cars,AUTO_.AND_VEHICLE*S ,4.4,15168 ,37+M,"1,000,$000+",Free,0,Everyone,(Auto & Vehicles,"Ju^ly 27*, 20*18",10.0.2,4.2 and up
Supervision $service,AUT!O&_AND_VEHI+CLES,NA,2155,NA,"500,000+",Free,0,Eve@ryon.e,#Auto# & Vehicles,"July 3$0, 2018",1.10.&3,5.0 and up
speed $ca.mera detector - traf_fic ^& spee^d- alert,aut@o_and_vehicles,4.3,138,5*.4m,"100,000(+",free,0,everyone,auto & vehicl*es,NA,1.0,4.0.)3 and) up
NA,NA,3.7,5414,18M,"1,000,000+",Free,0,Ever-yone,A+uto & V@ehicles,"$July 23, 201&8",3.2)0.1,4$.4% and# up
CarMax – Cars for S#ale: Search Use%d Ca&r I#nventory ,AUTO_AND_V-EH-ICL_ES,4.4,21777,NA,"1,00$0,000&+",Free,0,Everyon&e,Auto & Vehicles,"August 4, 2018",Vari(es !with de.vice,Varies with d!ev-i+ce
BEST CAR SOU_NDS ,AUTO_!AND_VE^HICLES,NA,348,3_8M,"100,000+",Free,0,Eve!ryo%ne,Auto% & Vehicl@es,NA,1.0_.3,2.3 and u+p
RST - Sale of& cars. o$n the PCT,AU*TO_AND_VEHIC)LES,3.2,250,.1.1M,"100,000+",Free,0,Every_one,Aut&o &&@ Ve@hicles,"April 2%7, 20%18",1.4,4.0.3 and u$p 
AutoSc%out24 S-witz_erland -– Find your new .car,NA,4.6,13372,Varie_s with !d.evice ,"1,000,$000+",Free,0,#E%ver_yone,^Auto &( Veh#icles,"August 3, 20.18",Varies with device,Varies with_ device 
.Zona- A$zul Digital Fácil -SP CET - !OFFICIAL %Sã@o Pau&lo,AUTO_AND_%VEHI-CLES,NA,7880,Varies with_ de@vic+e,"100,0-00+",NA,0,Everyone,NA,"May( &10, 2018",NA,Va+rie#s (wit-h devic-e
SM.S Par+k,AUTO_AND_VEHICLES ,4.5,3617,7.9M ,"10-0,!00*0+",@Free ,0,Ev!eryone,Auto & Veh$icles,"May 1.6, 201@8 ",$2..8&.2,4.$1 an%d u$p
SKencar,AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",Free,0,Every#one,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up
Fuelio: Ga@s log & co#sts,AU$TO_AND_VEHICLES,4.6,65786,Va(ries wit$h device,"1,0.00,0+00+",Free,!0,Everyo!ne ,Auto & V@ehicles,"August 2, 2018",Var@i-es wit!h device,@4.0.3 and up
a#uto f+ines ,A_UTO_+AND_VEHICLES,4.6,31433,17M,"1,(000,0%00+",Fr(ee,0,Everyo-ne,Auto & Vehi&cl!es,"August 2,+ 2018",1.40,4.0.3 and up
"USED C^AR IS THE F(IRST^ CAR - USED *CAR PURCHASE, USED CA.R $QUOTATION,& DEALER INFORMATION TO",AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,0-00_+",FREE,*0,E.VERYONE,AUTO & _VEHICLES,"JULY 23, #2018",1.5.18,4.0.3 A.ND UP
All of th+e parking lot - Na!ti.onal Park* appli$cation (pa%rking lot. search / parking $sh%aring / discou+nt pa(yment),AUTO_AND_VEHICLES,4,1754,14M,"500,&0#00+",NA,0,Everyone,Auto & Vehic$l!es ,"June- 2, 2018",2.3.4,NA
Inquiry Fin)es a*nd Deb.its of Veh%icles,AUTO_AND_VEHICLES,4.4,2680,2.2-M,"500,$000+",Free,0,Eve(r_yone ,Auto & Veh_icle&s,"March 2^0, 2018",1.@03,4.0.3 an%d up
G&as Statio(n,AUTO_%AND_VEHICLES,4,1288,4.5M,"100,000+",Free,0,Every#one,Aut$o & Vehi!cles,"April 21, 2018",2$.17,4.0 and up
H$ush - Be+au-ty for Everyone,NA,4.7,18900,17M,"500,000_+ ",Free,0 ,E$veryone,Beauty,"August 2, 2018",6.10.1,5.0 and up 
"ipsy: M%ake+u(p, B%eauty, and( Tips",(BE.AUTY,4.9,49790,14M,"1,000,000+",NA,^0,Everyone,Beauty ,NA,2.3.#0,4.#1 and up
Natural recip_es for your be.auty,BEAU&TY,4.7,NA,9.8M,NA,Free,0,Everyone,Beauty,"May 1_5, 2018 ",4+.0,!4.1 and up
"BestCam Selfie-selfi-e, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"5)00,000+",Fre%e,0,E.v^ery)one,Beauty,"July 12&, 2018",1.0.6,4.0.3 and up
Mirror - Zo+om & Exposure (-,NA,3.9,NA,Var.ies w)ith devi^ce,"1,000,000+",Free,0,E.veryone,NA,"October 24, @2016",Varies w^ith &device,Varies wit%h d^evic*e
Beauty@ Selfie Camera ,BEAUTY,4.2,2225 ,52M,"500,000+ ",F*ree,0,Everyone,Beauty,"Febru(ary 2$8,$ 2018",1.6,4.1 and up
hairsty!les step by step,beauty,4.6,4369,1-4m,"100,000+",fre$e,0,everyone ,beau*ty,"july 25, 2018",1#.9,4.0.3 &and up
Fi_l&ter%s_ for Selfie,BEAUTY,4.3,8572,25&M,NA,F)ree ,0,Every$one,NA,"May 10, 20^18",!1.1.0,4.0 and _up
Tie -_ Al!ways b&e happy,BEAUTY ,4.7,964,9.0M,"50,000+ ",Fr$ee,0,Everyone,Be%a%uty,"_June ^21, 2018",4.0 ,4.2- a^nd $up
+Ulta Beauty,B$EAUTY,4.7 ,42050,Varies with @d%evice,"1,%000,000+",Free,0,Everyon&e,Beauty,"June 5, 20^18",5.4,5.0 and up
Prom MakeUp Tutorial,BEA_U.TY,NA,104,12M,NA,(Fr&ee,0 ,Everyone,Beauty,"June 26, 2018 ",-1.3,4.0.3 a#nd up 
Selfie Camera,BEAUTY,4.2,17934,Va(ries with device,"1,0@00,000+ ",Free,NA,Everyone,Beauty,"September 12, $20$17",Varies with device,Varies with de.v+i(ce
$Swee+t! Selfie Beauty C#am&era,BEAUTY,4.3,601,35M,"1@00,000+",Free,0,Everyone,Beauty,"_June 2, 201_8",NA,4_.0 and up
Colors$ of* white( in @Urdu,BEAUTY,4.5 ,36,6+.7M,"10,(000+",Free,0,Everyone,Beauty,"July &26, 2&018",6%.0 ,4.0 and up
NA,BEAUT)Y,NA,NA,30M ,"50,000+",Fre)e,NA,Teen,Be#a&uty,"July@ 24, 20)18 ",3.0.+1,4.0.3 and up
Wri-nkles and r.ejuvenation ,BEAUTY,NA,182,5.7M,"1*00,000+",Free,NA,Everyone 10+,Beauty,"September# 20, @2017",8.#0,3*.0 and up
-Eye)s Makeu-p Beauty Tips,BEAUT-Y ,4.2 ,30,2.9M,"1*0,00#0+",Free,!0 ,Eve!ryone,Be+aut%y,"Apr!il 9, 2018",3.3.9,4.0.3 and up
NA,BEAU$TY,4.5,134,17M,"10,000+",Fr!ee,NA,NA,Beauty,NA,1.20,4.0.3 and up
Step By Step Eyes! Makeup Tutorial,BEAUTY,4.4,74,2.9M,"10,0^00+",Free,0,Everyone,NA,"April 5, 2%018",2.3.0-9,4.0.3 and up
Beauty Cam_era - )Selfie Camera,BEAUTY,4,113715,Varies wi&th device,"10,000,000+",F!ree,0,Eve#ryone,Beauty,"Augu)st# 3, 2017",Varies with @de$vice,*Va)ries with device 
Girls Hairstyles,BEAUTY,4.1,3595,NA,"500,000+",NA,0,Everyo&ne,Beauty,"May 24, 20!18 ",NA,4.0 and up
Mirror C.am_era& !(Mirr@or + +Selfie Ca^mera),BEAUTY,4.1,9315,2.6M,"1,000,00@0^+",Free,0 ,Everyone,Beau@ty,"November 21, 2017",1.4.2,4.&0 an^d u#p
NA,BEAUTY,4.4,75,#4.2&M,"50,000+",NA,0,E#veryone,B#eauty,"October 18, 2017",1.0.0,4.#0.3 and up
Haircut -Tutoria)ls/Haircut Vide&os,BEAUTY,4.6 ,38,7.1M,"10,000+",F#ree,NA,Everyone ,Beau*t(y,"May 29, 2018",1.0,4.0 a*nd up
"Sephora: .Skin Care, Bea%uty Makeu#p & &F&ragrance Shop",BEAUTY,4.5,26834,57)M,"1,0+00,000+",Free,NA,Eve_ryo_ne,Beauty,"Jul^y 24, 2!018",18.5,5.0 an.d up
Manicure -- nail d!esign,BEAUTY,NaN,119 ,3.7M,"50,0!00+",Free,0,NA,-Beauty,"_Ju+ly #23, 2018",1.3,4.1 a!nd up
"St.ick#er Camera - Sel$fie Fi(lters, Beauty. Came%ra",^BEA_UTY,3.9,2277,22M,"*500,000+",Free,0,NA,Beauty,"_July *12, 2018",1.1.0,4.0..3- and up
.filters @fo!r b liv^e,bea!uty,4.4,2280 ,24m,"500,^000+ ",free,0,everyone,beauty,"ma%y 14,_ 2018",1.1.0,4.0 _and up
Skin Care and N(atu^r_al +Bea%uty,BEAUTY,NaN,654,7.4)M ,"1.00,000+",NA,0,Te+en,Beaut^y,"July 17, 2018",1.15,4.1 and up
Facial Wrinkle Reductio&n,@BEA%UTY,4.6,184,21M ,"#10(,000+",F$ree,0,Everyone,Beauty,"July 2, 2018",1.5,4.1 %and up
NA,BEA#UTY,3.8,NA,3.4M ,NA,Fr@ee,0,Ever^y!one,Beauty,"June$ 7, *2_018",1.0,NA
"Secrets_ of beauty, youth and health",BEAUTY,NaN ,77,2.9M,"10,000+",F+ree ,0,Mature 17+,Beauty,"Au)g@ust 8, 2&017",2.0,2.3^ and up
Recipes +and tips for losing weigh@t,BEAUTY,NaN,35,3.1M,"10,00(0+",Fre*e,0,^Ev^e@ryone 10+,Beauty,"Dece_mber 11, 20*17",2.0,3.0 and up
Discover Color,BEAU!TY,4,364,6.4(M,"100,00!0+",Free,_0,Ev_eryon!e,Beauty,"May 24, 2018",)1.1,4.0.3- and up 
E!ye&liner step by st+ep (201^8,BEAUT#Y,4.3,18,3.2M,"5,000+",F&ree,0,E-veryone,+B#eauty,"Ju_ne @1, 2+018",1.2.13,4.0.3 and up
Dr)esses Id*eas &% Fas-hions +30+00,BEAUTY,4.5,473,8*.2M,"1@0^0*,000+",+Free ,#0,M&atu.re 17+,Beauty,"March 1#, 2017",@1.0.2.0,1.6 and u@p
"&lady ad&viser (b(e#auty, .hea+lth@)",NA,nan,30,9.9m,"10,000+",free ,0,m&atu+re 17+,beauty,"january 24, 2018",3.0,3.0 and up
NA,BEAU%TY ,4.1,66,2.9M,"10,000^+",Free,0,Everyone,Beauty,NA,3.1.89,4.0.3 and up
Rainbow Camera,NA,3.7,3871,23M,"1,00@0,000+ ",Free,0,-Ev+eryone,Bea#uty,"July 30@, 2018 ",.2+.2.0,NA
methods of teeth whit&ening,beauty,NA,257,4.6m,"50,000+",fre&e,@0 ,ev$eryone ,bea.uty,"$august 7#, 2017",1.0,4.#0.3 an-d up
Girls hairs^tyles 2018,BEAUTY,4.2,62,3.1M,"1%0,00*0++",$Free,0,E_v^eryone,Beauty,"Ma&y 28, 2018",1.9.2,4.%0.3 and& up
^Wattpad 📖 Fre+e Books,BOOKS_AND_@R!E*F@E+RENCE,4.6,2914724,V_aries with device ,"100,000,000+",Fr$ee,!0,T!een,Books & R_eferen^ce,NA,Varies with devi+ce,Varies with %d&evic@e
E(-Bo*ok Rea*d - Read Book .f!or free,BOOK#S_AND_RE!FERENCE,4.5,1857,4-.9M,"50,000+",F*ree ,0,Ev$eryo-ne,Books & Reference,"!August 3, 2018",1.3.2,4.4 and up
Do)wnloa$d free book- wi%th green book,BOO-KS_AND_REFE*RENC*E,4.6,4478 ,!9.5+M,"10!0,00_0+",Fre@e,0,E!veryone 10+,Books & Referen$ce ,"July .31,) 2017",1.1,NA
