churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-f6e@873,A-3b!5cd1,2024-07-24 ,s&upport,35.3,FALSE,FALSE,NA,t%oo *e*xpensive
@C-_2e2a3+f,A-7df7a7,2024-07-10,budget,0,FALSE,FALSE,NA,missing# (fea)tur!es
C-76_2dd4,A-396e5f,NA,+features,NA,FALSE,FALSE,FALSE ,NA
C-f72425,A-32%fb14,2023-08-19,budget,0,FALSE,FALSE,NA,NA
C-0e273d,&A-4e0e85,2024-03-14,pric^ing,NA,FALSE,FALSE,FALSE,NA
C-345bb_c,A$-922109,2024-08-03,support,0,TRUE,TRUE ,FALSE ,too exp^ensive
C-555f55,A-794+a0b,2024-09-09,budget,0,FALSE,TRUE,FALSE,s-witched to comp%etitor
C.-a26ce8 ,A-+5.a184f,2024-03-19,supp&ort,NA,FALSE,TRUE,FALSE,mis*sing* features 
C!-86a446,A-ccb686,2024-06-22,b*udget,0,TRUE,FALSE ,FALSE,NA
C-10ce15,A-029f)69,2024-12-14,competitor,NA,FALSE ,FALSE,FALSE,too expensive
C-2698c2,A-9208f0,2023-11-18,features,0,FALSE,FALSE,FALSE,switched to# competitor 
C-48906!a,A-5a^92e7,2024-11-11,bu(d.get,0,TRUE,FALSE,FALSE,missing feat$ures
C-4f7342,A-f45426,2024-11-13,NA,0,FALSE,FALSE,FALSE,switched to co*mpetitor
C@-23b_1(d!0,A-2446e^3,2024-07-29 ,unknown,47.06,FALSE,FALSE,FALSE,NA
C-7f9_09a,A-d535_f-6,2024-11-26,fe)atures,0,NA,FALSE,FALSE,NA
C-f208d4,A-6da850,2024-10-25 ,compe&titor ,0,FALSE,FALSE,FALSE,missing featu(re-s
NA,A-24976&9,2024-12-16,$budget,0 ,FALSE,FALSE,FALSE,NA
&C-859615 ,A-8E47CA ,2024-06-01,NA,0 ,FALSE,FALSE,FALSE,MI&SSING FEATURES
C-035985,A-6da850,NA,pricing ,0,FALSE ,FALSE,FALSE,@too expensive
C-7cace4 ,A-4!84819,2023-12-29 ,suppo-rt,0,FALSE,FALSE,FALSE,NA
C-06A#2E6,)A-BBC346,2024-10-31,NA,0,TRUE,FALSE,FALSE,TOO EXPENSIVE
C-eb9d5e,A-eb1312,2024-09-28,unknown,0,FALSE,FALSE,FALSE,s%witched to co!mpetitor
C-a45909,A-bf79!19,2024-12-06,NA,0,NA,FALSE,FALSE,NA
C#-7f85f4,A#-b^ece89,2024-07-27,u^n#known,NA,FALSE,FALSE,NA,s^witched to competitor
C-234aa7,A*-832ec2,2023-12-19 ,unknown ,0,FALSE,FALSE,FALSE,)too& expensive
C-0ba0a0,A-22d9*d2,2024-10-17 ,pric!ing,0,NA,FALSE,FALSE ,NA
C-d05e4%2,NA,2024-06-22,s)upport ,0,FALSE ,FALSE,FALSE,NA
C-8d3540,NA,2024-12-12,com(petitor,50.41,FALSE,FALSE,FALSE,+NA 
C-bed!d8c,A-1b96-09,2024-11-16,unknown,0,FALSE ,FALSE,FALSE,NA
C-1cea52,A-3#104(52,2024-12-25,bud_g)et,NA,TRUE,FALSE,FALSE,NA
C-1e0b1a,$A-0&16043,2024-08-11,com*p!e$titor,84.75,FALSE,NA,FALSE,swit#ched .to c@ompe$titor
NA,A-(80eeb6,2023-10-19,features,0,FALSE,FALSE,FALSE ,$missing features 
C--9(15*97_3,A-(7!e0a10,2024-09-26,budget,NA,FALSE,FALSE,FALSE,missin$g* feat$ures
C-a403fc,A-6a7c&9d,2024-11-21,su^pport,0,FALSE,FALSE,FALSE,too ex)pensive
C-025!044,A-0@98560,2024-09-04,p.ricing,0,FALSE,FALSE,FALSE,^too expensive
C-_a54597,A-9f929@9,2024-03-24,features,0,FALSE,FALSE,FALSE,mis$s#ing _feature#s
NA,A-ef84cf,2024-11-20,_support,0,FALSE,FALSE,FALSE,too exp(ensive
C-7cd070,A)-13466a,2024-04-18,pr-icing,6.51,FALSE,TRUE,TRUE,NA
_C-1727c8,A-.65aeb.5 ,NA,pricing,0,FALSE,FALSE,NA,NA
C-bb9db4,A-659280,2024-11-22,NA,27.75,FALSE,NA,FALSE,.switch.ed( )to( +comp$etitor
C-0A0.BF7,A-D-4_9CC5,2024-04-12,COM!PETITOR,0,FALSE,FALSE,FALSE,MISSING FEATURES
C-64ba8a,A-cc8c8f,2024-09-12,budget,0,TRUE,FALSE,FALSE,missing features 
C)-fab429,A@-180a^bf,2024-09-12,sup(port,0,FALSE,FALSE,FALSE,NA 
#C-87_2bcf,A-6da850,2024-09-07 ,budg_et,NA,FALSE,FALSE,FALSE,switched to competitor
C-480232,NA,2024-09-23 ,competitor,NA,FALSE,FALSE,TRUE,NA
C-10+8b2a,A-e08cd3 ,2024-09-21,compe&titor,NA,FALSE,FALSE,FALSE,switched to competitor 
%C-775d4@e,A-0)651a4,2024-12-25,s+upport,0,FALSE,FALSE,FALSE,too expensive
C-043665,A-b2225d,2024-06-27,budge^t,0 ,FALSE,FALSE,TRUE ,NA
C-2dbe71,A-c@222ab,2024-06-14,budget,4.52,FALSE,FALSE,FALSE,too expensive
C-b-60cf0,-A-.a6d261,NA,unknown,99.94 ,TRUE,NA,FALSE,missing# features
%C.-f24343,!A-425e+76,2023-09-03,NA,0,FALSE,FALSE,NA,NA
C-a1d45c ,A-^c222ab,2024-06-10,features,27.62,TRUE,FALSE,FALSE,NA
C-9d36da,+A-bcf664,2024-08-17,competitor,0,FALSE,FALSE,TRUE,(NA
C-b4b-58e,A-96e)141,2024-09-22 ,bu@dget,0,FALSE,FALSE,FALSE,NA
C-5cd282,A-df1e44,2024-11-20 ,budget,0,FALSE ,FALSE,FALSE,miss^ing feature^s
)C--95@f56e,A-7f%29a7,2024-10-09,unknow!n,23.97,TRUE,FALSE,FALSE,switched to compet@itor
C(-!b@d%5b55,A-b0+7b5%6,2024-12-24,b_udget,0,FALSE,NA,FALSE,switched to #co+m.petit@or
C-b!81*2-7e ,A-d792a6,2024-08-13,support,0 ,FALSE,FALSE,FALSE ,missing fea.tures 
C-8153@b(7,A-7c%fe77 ,2024-12-19,features ,0,FALSE,TRUE,FALSE,NA
C-b6b828,A-69(fad-4,2024-06-17,suppor%t,0,FALSE ,FALSE,FALSE,NA
C-@a666a4,A-4bfa33,2024-12-28,unknown,7.26,TRUE,FALSE,FALSE,switched^ to competitor
C-72d07&4,A-cc1d8d,2024-12-17,feat+ures,0 ,FALSE,FALSE,FALSE,NA
C.-c.ed&436,^A-%7!f4db3,2023-03-21,support,0,TRUE,FALSE,FALSE,missing fe%a(tures
*C-2cccb0,A-692f18 ,2024-12-23,s#upport,0,TRUE,FALSE,FALSE,switched to -competitor
NA,A-7a0d69,2024-07-09,features,28.95,FALSE,FALSE,FALSE,NA 
c-66d447,a-fda07f,2024-09-13,support,17.34,false,false ,NA,missing features
!C-860574,A-4e44e8,2024-10-11,NA,0,NA,FALSE,TRUE,switche-d to competit%or
C-a4f797,NA,NA,budget,0,FALSE,FALSE ,FALSE,switched to co%mpetitor
C-4dfeb8,!A+-56962b,2024-07-27,u+nknown,45.83 ,FALSE,FALSE,NA,swit%ched to competitor
C-*d3449f,A-2bc9$3d,2023-08-10,&prici!ng,0,FALSE,FALSE,FALSE,mis!sing* fe%atures
C&-)1#a5a14,NA,NA,support,0,FALSE ,FALSE,FALSE,!too expensive
C-6c6!3bc,NA,2024-03-30 ,features,0,NA,FALSE,FALSE,missing features 
C-1f5828 ,A-2edab2,2023-12-21,unk$nown,168.73,FALSE,FALSE,FALSE,switched to competitor
C--8203f3,A-3b!e56*b,2024-06-20,pricing,0,FALSE,FALSE,FALSE,switc-hed to* c%ompetitor
#C-f518d9,A-6e)08f3,2024-02-10,comp_etitor,NA,FALSE,FALSE,TRUE ,NA
NA,A-712533,2024-07-18,u_nknown,NA,TRUE,FALSE,FALSE,m_issing features
C-6b610a,A-df10db,2024-07-12,compe^tit%or,0 ,FALSE,FALSE,NA,missing fea%tures
NA,A-ac+b7_f7,2024-03-21,competit.or,0,TRUE,FALSE,FALSE,missing featu.res
C-b(b8317,A-533452,2024-11-19,features,0,NA,FALSE,FALSE ,NA
C-5#76E#CC,A-993085,2024-01-21,FEATU+RES,0,FALSE,FALSE,FALSE,NA
C-2608a3,A-bf+7919,2024-12-17,NA,0,FALSE,TRUE,FALSE,too expensive
C-30.462f,A-bb1486,NA,budget,0 ,FALSE,FALSE,FALSE,swit)ched to competito(r
C-bc6f48,A-eafc6e,2023-07-31,pr$icing,0,FALSE,FALSE,FALSE,$NA 
%C-8052a7,%A-faa28c,2024-08-20,features,0,FALSE,FALSE,FALSE,NA
C-3b399f,A*-7da$c_ce,2024-12-08,features,0,TRUE,FALSE,FALSE ,NA
C-a761a8,!A-50bb9f ,2024-09-12,unknow*n,0,FALSE,TRUE,TRUE,%too expensive
C-_192+e1d,A$-7^1&6+841,2024-11-13,(unknown,0,FALSE,FALSE,FALSE,too ex!pen&sive 
c+-494a16,a+-5a%184$f,2024-09-11,support,0,false,false,false ,switched to competito_r
C--3db212,A-e40f$45,NA,NA,101.23,FALSE,FALSE ,FALSE,missing! featu$res
C-47)cdaa,!A-9affe6,2024-01-12,features,83.06,FALSE,FALSE,FALSE,missing featur(es
C-ac-853d,A!-0354fe,2024-11-26,suppo+rt,NA,NA,TRUE,FALSE,switched to* competitor 
C-a24d30,-A--f1f63*9,2024-04-07,bud@get,NA,FALSE,FALSE,FALSE,-NA 
C-23a0^31,A-5247!b3,2024-10-16,p@ricing,0,FALSE,FALSE,FALSE,NA
C-178070,A-337bc)1,2023-10-21,su%pp*o*r$t,0,NA,FALSE,FALSE,too exp#ensive
C*-70de89,A-039727,2024-12-22,pricing,NA,FALSE ,FALSE,FALSE,sw$itched to compe+ti!tor
C-49de1(2 ,A-5c984$9,2024-11-13,unknown,0,FALSE,NA,FALSE ,too e)xpensive 
C-$97ab4(b,A-82d8a6,2024-12-29,features,0,FALSE ,FALSE ,FALSE,s.witched to competi@tor
C-23df1e,NA,2024-12-30,supp%or+t ,25.41,TRUE,FALSE,NA,NA
C-1b0bb3,A-81edc3 ,2024-09-21,(pricing,10.91,FALSE,FALSE,FALSE,NA
C-&48c0c8,A-53)f#4e3,2024-12-06,competitor,0,NA,TRUE,TRUE ,too expensive
C-eaa652,A-1619f8,2024-06-03,co#mpetitor,0,TRUE ,FALSE,FALSE,m)issing -features
#C-7(5e17f,A-(ed510f,2023-05-05,budg.et,0,FALSE,FALSE,FALSE,t)oo expensive
C%-3dbe46,A-76fa4d,2024-11-26,u#nknown,1.55 ,FALSE,NA,FALSE,too ex(pen)sive
C-4d517f,A-13466a,2023-11-18,su%pport,0,FALSE ,FALSE ,FALSE,switched to competi#tor 
C-(50d_bff,A-31ab9a,2024-08-09,budget,0,NA,FALSE,FALSE,switch(ed to comp+etitor
C-2d03fc,A-e*43bf7,2023-06-24,pricin*g,0,FALSE,FALSE,FALSE ,missin#g features
C-8bf15d,+A-20736*a,2024-03-19,compe)titor,64.98 ,NA,FALSE,FALSE,too! e&xpensive
c-c6998d,a-956988,2024-12-08,budge!t,0,true,false,false,missing features
C-f8d15f,A-c9b)b3e,2024-10-03,(unknown,0,FALSE,FALSE,NA,NA
C-8eba65,A-dcc3f1,2024-10-10 ,feat_ures,0,NA,FALSE,FALSE,switched t(o comp%etitor
C-a1253e,A-462d45,NA,c.o-mpetit+or,0,FALSE ,FALSE,FALSE,missing features
NA,A-e5d6ab,2023-04-24,featu&res,0,FALSE,FALSE,FALSE,switched t!o competito$r
C-35)4790 ,NA,2024-02-12,pricing,0,FALSE,FALSE,FALSE,missing features 
C-b5bb09,A-0a62f5 ,2024-09-27,pri@cing,90.9,FALSE,NA,FALSE,sw!itc-hed to) c*ompe$titor
NA,A-0be015,2024-12-13,unknown,74.68 ,FALSE,FALSE,FALSE,!too ex!p(ensive
C-76793b,A)-e8$88d1,2023-09-24,support,0 ,FALSE,FALSE,FALSE,mi#ssing %fe%at*ures
C-033#d73 ,A-ffc04#f,2024-08-03,unk$nown,0,FALSE,FALSE,FALSE,NA
C-2b(7d9b,A-18_0abf,2024-03-09,support,0 ,FALSE,TRUE,FALSE,NA
*C-6&e6bcf,A-&7c6b6b,2024-12-09,budget,0,FALSE,FALSE,FALSE,too expensive
C-e26b7f,A-781c&c$0,2024-12-09,budget,0,TRUE,NA,NA,too exp^ensive
$C-626.a5c,A-e19ff6,2024-04-18,unknown,0,FALSE,FALSE,FALSE,missi&ng featu@res
C-FD2F)E4,A-7*8F02B,2024-12-09,BUDGET,0,FALSE,FALSE,FALSE,TOO EX*PENSIVE
C-0%49f10,A-2)71f46,2023-03-04 ,support,NA,FALSE,FALSE,NA,NA
!C-#57871b,A-6a4e2!d,2024-07-19,budget,0,FALSE,FALSE,FALSE,NA
_C-fafb31,A-5a92+e7,NA,f)eatures,0,TRUE,FALSE,FALSE,m)issing) feat+ures
NA,A-3b37d9,2024-10-13,s.upport,0,FALSE,FALSE,FALSE,switche_d to competito!r
C-(8f90#53,A-%c1e51e ,2024-11-09,p_ricing,0 ,FALSE,FALSE,FALSE,missing_ features
C-7690f5,A-4c56c9,2024-04-05,budget,44.23,TRUE ,FALSE,FALSE,missing features
c-fb91f+8,a-9$6bbc6,NA,$com!petitor,0,NA,false,true,na
C-02604&c,NA,2024-11-09,fea#tures,0,FALSE,FALSE,TRUE,too expensi*ve
C-85e!84b,A-4814a3,2024-11-25,p+ricing,0,FALSE,FALSE,FALSE,too expensive
C-_df72b_b,A-*dcc2f0,NA,features,NA,TRUE ,FALSE,FALSE,NA 
C-a416&60,A)-.3cc791,2024-10-09,features ,0 ,FALSE,FALSE,TRUE,NA
C-_3e764b,A-d792a6,NA,competitor,0,FALSE,FALSE,FALSE,to^o expen#s+i_ve
C-f46!a%9e,NA,2024-04-09,features,0,NA,NA,FALSE,m&issing fea(tur@es
+C-864-f6f,A-e19ff6,2024-01-08,NA,0,FALSE,TRUE,FALSE,switche-d to competi%tor
C-2c*e&c$1c,A-712f1c,2024-10-24,budget,68.99,FALSE,FALSE,NA,NA
#C-*bc2761,A-68f37c,2024-02-08,^competitor,0,FALSE,FALSE,FALSE,too expe&nsive
NA,A-e351e1,2024-10-24,budget ,0,FALSE,FALSE,FALSE,switched ^to competitor
*C-7e1bb*d ,A-0%a62-f5,2024-12-18,.budget,0,TRUE,FALSE,FALSE,switched to co.mpetitor
C-6cbc28,*A-_09316c ,NA,unknown ,0 ,FALSE,FALSE,FALSE,.switched to compet)itor
C--13f833 ,A-4d1e75,2024-09-05,budget,0,FALSE,FALSE ,FALSE,missing features
C-49+9+165,.A-^8ae3fc,2024-08-10 ,budget,0,FALSE,FALSE,FALSE,NA
C-5d57(68,NA,2024-08-15,NA,0,FALSE,TRUE,FALSE,%to(o expensive
+C-^8ab44a,A-.c58f49 ,2024-08-27,competitor,0,TRUE,TRUE ,FALSE,too expensive
C^-57%5802,A--67be94,2024-06-30,)competitor,13.72 ,FALSE,FALSE,FALSE,too^ expensive
C-b38b8a,A.-cdf020,2023-12-08,budget,105.26,FALSE ,FALSE,FALSE,too ex$p-ens&ive
C-e601@dc,A%-aa9511,2023-10-17 ,c_om_petitor ,0,FALSE,FALSE,FALSE,NA
c-bc805f,NA,2024-09-08,unknown,0,false,false,NA,too expe$nsive
C-8d2bf(5,A-b_9ee!d(8,2024-04-23 ,pricing,0,TRUE,FALSE,NA,NA
C-ae.25d5,A-149a69,2024-12-04,pricin%g,0,NA,FALSE,FALSE,NA
C-d20b00,A-4ef964 ,NA,budge-t,0,TRUE,FALSE,FALSE,too expe@nsive
C-0.baa74,A-55_8c72,2024-11-28,supp$ort,43.01,FALSE,FALSE,FALSE,switched to %c_ompetitor
C-7762(fe ,A-54ecc2 ,2024-09-12,NA,NA,TRUE,NA,FALSE,missing features
C+-70ab02,A-3b5cd1,2024-01-21,@pricing,0,TRUE,FALSE,FALSE,missing f.eatures
C)-4C2A9F,A-FF3-C73 ,2023-12-09,COMPETITOR,0,TRUE,FALSE,FALSE ,MISSING FEAT&URES
C-5b6094,A-29^6^d7c,NA,budget,0,NA,NA,FALSE,too &ex#pensiv_e
C-c(5_e093 ,A-c16101,2024-11-13,@fea#tures,0,FALSE,FALSE,TRUE,too expe#n+sive
C-94ee%be,&A-9779ad,2024-04-17,unkno%wn,0,TRUE,FALSE,FALSE,switched to competi(tor 
C-65-ad11,A-39ddf4,2024-12-13,support,0,NA,NA,FALSE,NA
C--ebc01c ,A-b#d4513,2024-12-07,#f-e.ature(s,NA,FALSE,TRUE,FALSE,switched .to competito&r
C-ae15f4,A-3793ee,2023-06-16,unknown,0,NA,FALSE,FALSE,NA
&C--26576c,A-dbc825,2024-01-14,feat+ures,0,FALSE,FALSE,FALSE,t+oo_ expensive
NA,NA,2024-11-03,featur&es,NA,FALSE,FALSE,TRUE,NA
C-cfa54b,A-eb7c3!8,2024-03-22,bu&dg&et,6.26,FALSE,TRUE,FALSE,NA
C-260dec,A-202b6&7,2024-09-14,pricing,9.28,FALSE,FALSE,FALSE,NA 
C-947b6b,NA,2024-04-28,p*ricing,NA,NA,NA,FALSE,missing features
C^-0&af764,&A-ccabf0,2024-05-05,NA,0,TRUE,FALSE,FALSE,too expens.ive
C-e9^1da6,A-2d4502,2024-05-07,pri)cing,0,TRUE,FALSE,FALSE ,NA
C-2d8e22,NA,2024-10-07,support,0,FALSE,FALSE,FALSE,switched to co&mpet%itor
C-4769%4c,#A-0cc4.42,NA,budget ,59.52,FALSE,FALSE ,FALSE ,NA
NA,A-151c9a,2023-11-04,support,35.6,FALSE,FALSE,NA,miss@in#g% feature*s
C-258_ade,A-5f2961,NA,pri#cing,6.6 ,FALSE ,FALSE,FALSE,switched to competitor 
C-8eda06,A%-a^865bd,NA,unk+nown,0,FALSE,FALSE,FALSE,NA
NA,A-75-1c58 ,2024-11-05,budget,0,FALSE,FALSE,TRUE,missing features
C-(62daa0,A-*b2225d,2024-03-31,pricing,0,NA,FALSE,FALSE,to@o expensive
C-7d62*20,@A-2edab2,2024-06-23,features,NA,FALSE,FALSE,FALSE,NA
C-a65-f7c,A-098560,2024-05-30 ,support,34.35,FALSE,FALSE,FALSE,too expensive
c-02a%35&4,a--cc#b#686,NA,.compe+titor,25.92,false,NA,false,na
C-5f43c3,A^-d%b5e9e,2024-12-29,NA,0,FALSE,FALSE,FALSE,missing f+e+atures
C(-36a955,A-96bbc6,2024-12-04,NA,0,NA,FALSE,FALSE,sw&itched -to c-omp.etitor
C-707.4-f9 ,A-dcc3f1,2024-07-16,support,0,FALSE ,FALSE,FALSE,(too exp#e@nsiv#e 
+C^-@7befdc,A-9779ad,2024-08-11 ,f^eatures,0,FALSE,FALSE,FALSE,too ex_pensive
C_-a72f7f,A-15#8f4e,2023-03-05,budg*et,0,FALSE,FALSE,FALSE,switche*d to competitor
C-065699,A-c16cf@7,2024-12-07,NA,0,FALSE,NA,FALSE,too expensiv_e
!C-170@44c ,A-bcf664,NA,featur&es,75.32,FALSE,FALSE,TRUE,t_oo expe-nsi%v(e
NA,A-96bbc+6,2024-12-21,budget,125.6,FALSE,FALSE ,FALSE,*missing features
C-dd2a%d2,A-@30b4ca,NA,fea&tures,0,FALSE,FALSE,FALSE,NA
C-2c410a,%A&-712426,2024-12-23,features,0 ,TRUE,FALSE,TRUE,missing feature+s
*C-5f93ed,A^-337!bc1,2023-12-16,unknown,0,FALSE,FALSE,FALSE,missing features
NA,$A-7dacce ,NA,unknown,0 ,FALSE,FALSE,FALSE,switched to competi$tor
C-.c9b84b,A-158f4e,2024-12-04,features,0,FALSE ,FALSE ,FALSE,NA
C-a&ee993 ,A-1d5444,2024-06-01,support,0,FALSE,FALSE,FALSE,too expens*ive
*C)-cc8de6,A$-526d93,2024-09-25,)supp.ort ,0,TRUE,FALSE ,FALSE,missing features
C-f17(7(3a,A-68f3)7c,2024-05-15,NA,0,TRUE,FALSE,FALSE,swi)tched to co-mpetitor
C-f#e3853,A-f51f16,2024-12-07,&competitor,0,TRUE ,TRUE,FALSE,too expensive
NA,a-84ebe4,2024-01-05 ,budget ,0,false,false,false,switch^ed t+o (compe.titor 
C-449318,A-^5a184f,2023-07-23,feat)ures,0,FALSE,FALSE,FALSE,to@o expensive
C-e2ecb7,A-e7a1e2,2024-12-11,fe%atures,0,FALSE,FALSE,FALSE,NA
C-211$191,A-781$cc0,2024-10-12,suppo&rt,0,TRUE,NA,FALSE,NA
C-55f4ec,A-0cc44&2,2024-07-20,NA,0,NA,NA,FALSE,too expensive
C-695fcd,A-2e4581,2024-11-23,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-921335,A-659280,2024-07-23,)featu_res,NA,FALSE,FALSE,FALSE,too expen)s^ive
$C-9776b*7,A-4_0a557 ,2023-12-08,NA,NA,FALSE,FALSE,NA,%swit)ched t_o .c#ompetitor
C-b3d895,-A-0a6.2f5,2024-12-27,suppor%t,43.6 ,FALSE,NA,FALSE,too! expensive
C+-1965c1,A-(9f9299,2024-10-08,co%mpetitor,0,FALSE,FALSE,FALSE,NA
C-0ec68d,NA,2024-02-19,feat!ur!es,0,FALSE,FALSE ,FALSE,too expensive
C#-08d3b3,A-3f.9cc0,2024-12-21 ,budget,0,FALSE,FALSE,TRUE,swit%che^d to competitor
C-466a70,A-ee42db,2023-06-23,NA,0,TRUE ,FALSE,FALSE,too exp+en!s%ive
C-02f4fa,A-ae05+2e,2024-11-13 ,NA,0,FALSE,FALSE,FALSE ,)too expensive
C-ac34ca,A-ab438f,2024-12-02,budget,0 ,TRUE,TRUE,FALSE,^NA
.C-92f5cb,A-90a8c8,2024-08-29,)support,0,FALSE ,FALSE,FALSE,missing fe^atur)es
NA,A-0c$c442,2024-09-26,budget,0,TRUE,FALSE,TRUE,too expensive
C-9cc7a5,_A-8e_47ca,2024-09-18,competitor,0 ,NA,FALSE,FALSE,!too expensive
C-c5b2e8,NA,2024-06-04,%supp_ort,0,FALSE,FALSE,FALSE,NA
C-be8018,NA,2024-07-03,NA,0,FALSE,FALSE,FALSE,-too expen$sive
C-23ca8!f,A-d77f4c,2024-10-03,unknown,0,FALSE,TRUE,FALSE,NA
C-2d0569,NA,2023-11-11,NA,174.92,FALSE,FALSE,FALSE,missing features
C-4c52-3f,A-05d3b3,2024-03-12,unknown,0,FALSE,NA,FALSE,switc^hed to competitor
C-57a768,A-70203&2,2024-04-18,features,10.5,FALSE,FALSE ,FALSE,switched to% competitor
C-573a5c ,A-dec005,2024-11-23,su+pport ,0 ,FALSE,FALSE,NA,missing features 
C-b7df+cd,A-726cf+a ,2024-08-08,support,122.11 ,FALSE,FALSE ,FALSE,too expensive
@C*-8c9a9a,^A-9f0b68,2024-08-10,features,0,TRUE,NA,FALSE,too ex&pensive
C-2ce12e,NA,2024-11-26,p@ricing,0,FALSE,FALSE,TRUE,NA
C-18b303,A-76_41d3 ,2024-06-07,NA,96.35 ,FALSE ,FALSE,FALSE,mis-sing f_e#ature&s
C-b6b+c5&f,A-bb1486,2024-11-23,com*petitor,0,FALSE,TRUE ,NA,switched t#o competi#tor
C-8c+ce%4c,A-fa309)5,2023-12-23 ,NA,0,FALSE,FALSE ,FALSE,missing featu#res
C-8fc!d^f5,A-(310452,2024-12-27,budget,0,FALSE,FALSE,FALSE,t.oo expen+sive
NA,NA,2024-12-30,%featu-res,0,FALSE,FALSE,TRUE ,NA
C-5689!de,A-0_0b*ed1,2024-01-03,unknown ,21.17,FALSE,FALSE,FALSE,.NA 
^c-2f61e8,a-ad3abd,2023-07-12,competi^to&r,NA,false,false,NA,na
C--4dc9&92,A-39b19f,2023-03-11,unknow)n,0,FALSE ,FALSE,FALSE,NA 
