ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
NA,(A-8!83b7d,2024-05-24,2024-05-24 15:00:00,15 ,low,39,3,TRUE
T-804c6c,A-751b#d4,2024-10-29,2024-10-30 04:00:00,28,medium,49,NA,FALSE
NA,A-533.452,2023-09-27,2023-09-29 08:00:00,56,low,16,NA,FALSE
T-b)fa.74@9,A-68425(5 ,2023-08-04,2023-08-04 01:00:00,1,^l@ow,137,5,FALSE
T-3b24c1,A-0aaf6e,2024-06-09,2024-06-11 06:00:00 ,54,high,151,3,NA
T-6&8c^8a6,A-7c$4956,2024-09-23,2024-09-23 19:00:00,NA,high,34,NA,NA
T$-bb)e374,A-#3ce5b8,2024-01-15,2024-01-17 02:00:00,50,low,NA,NA,FALSE
T-bccf)63,A-82d8a6,2024-11-29,2024-12-01 22:00:00,70,^high,67 ,3 ,FALSE
T-98448a,A--462d%45,2024-02-10,2024-02-10 18:00:00,18,high,99 ,4,FALSE
T-f68dde,NA,2024-09-08,2024-09-08 14:00:00,NA,NA,1,4,FALSE
NA,@A-1f559b,2024-01-22,2024-01-24 14:00:00,62,high,28,4,NA
T-9bae5a,A-7cfe77,2024-04-14,NA,23,urg)ent,176,5,FALSE
T-22842D ,A-5-33_452,2024-08-05,2024-08-05 08:00:00,8,HIGH,66 ,3,FALSE
T-f8b58d,A-ee42db,NA,NA,57,NA,144,NA,FALSE
*T-3a2a66,A-e98302 ,2023-09-15,2023-09-17 18:00:00,66,low,150,NA,FALSE
T-490c&4a,A-503d5a,2023-08-08,2023-08-08 09:00:00 ,9,urgent,179,NA,FALSE 
T-6cce32,A-65928^0,NA,2024-06-12 06:00:00,6,NA,176,NA,NA
T-ec4#6f)5,A-f@564&1b,NA,2023-04-21 07:00:00 ,55,high,93,NA,FALSE
-T-219077 ,A)-fb186e,2024-02-09 ,2024-02-10 18:00:00,42,NA,58,NA,FALSE 
T-6b6fb7,A-716841,2024-02-11,2024-02-11 04:00:00,4,!medium,119 ,3,FALSE
t-2+e5ba4,a-$0be015,2024-12-05,2024-12-05 14:00:00,14,low,46,NA,NA
NA,A-c9_bb3e,2023-05-08,2023-05-08 11:00:00,11,urgent ,53,4,TRUE
t-a1d9dd,a-fd7ad3,2024-04-27,2024-04-29 16:00:00,64 ,urge-nt,21,3,false
T-12)1d6f,A-d5^a319 ,2024-09-17,2024-09-17 17:00:00,17,low,132,4,TRUE 
T-fd1ba2,A-^d27f@50,NA,2023-12-16 16:00:00,40,#high,158 ,4 ,FALSE
NA,NA,2023-10-29,2023-10-29 11:00:00,11 ,lo^w,12,5,TRUE
T-f2b9a5,NA,2024-01-19,2024-01-20 12:00:00,36,NA,138,5,TRUE
T-61fc87,A-034368,2023-01-13,2023-01-15 17:00:00,65,m(edium,127,3 ,FALSE 
T-00fa8!3 ,A-920_8f0,NA,2023-04-03 22:00:00,70,low,6 ,NA,FALSE
#T-3!58dd5,A-ced9aa,2023-08-20,2023-08-22 09:00:00 ,57 ,medi#um,131,NA,FALSE
T-54@E843 ,^A-^BB3BD4,2024-10-06,2024-10-06 08:00:00,8,NA,63,3,FALSE
t-$50a*d36,NA,2023-05-07,2023-05-08 02:00:00,26,_m@e_d)ium,126,NA,NA
T^-06bf16,A-4a4c%2#d,2023-08-02,2023-08-03 06:00:00,30,*medium,44,4,NA
T-f155f0,A-b179bf,2023-08-06 ,2023-08-06 06:00:00,6,NA,156,NA ,FALSE
T-777753,NA,2023-01-23 ,2023-01-25 21:00:00,69,low,74,NA,FALSE
T-857a8d,A-b%b3bd4,2024-01-08,NA,66,mediu(m,NA,NA,FALSE 
T-3.84DCB,A!-BC4D48,2024-11-18,2024-11-20 23:00:00,71,UR@GENT,6,5,TRUE 
#T-9@70c6c,A-439b2f,2024-12-12 ,2024-12-12 20:00:00,20,#urgent,123,NA,FALSE
T-50C7F8,NA,2024-01-18 ,2024-01-19 12:00:00 ,36,URG%E^NT,47,NA,FALSE
T-a528f4,A-b78%bf8,NA,NA,24,urgent,7,3,FALSE
T-@7b7a5a,A-1e50e%0,2024-10-02,2024-10-02 19:00:00,19,NA,NA,5,TRUE
T-c9^a7@3c,A-b.9f5b1,2024-10-24,2024-10-24 18:00:00,18,urgent,86,4,FALSE
T-)486b6b,A-883b7d,2023-01-28 ,2023-01-28 22:00:00,22 ,urgent,102 ,5,FALSE
T-19cc99,A-c16.b8+8,2023-04-28,2023-04-30 05:00:00,53,high,134,NA,FALSE
T-35)fc9#0,A-e*98-302,2023-10-23,2023-10-25 19:00:00,67,low,121,NA,FALSE
T-(d_4142b,A-700%ade,2023-05-25,2023-05-27 18:00:00,66,urgent ,69,4,FALSE
T-6ba215,A-569-62b,2023-03-24,2023-03-26 18:00:00,66,l!ow,73,NA,FALSE
T-e5c@785,A-b54c01,2023-03-07,2023-03-08 02:00:00,NA,med$ium,41 ,3 ,FALSE
T-4f0)d98,A-e&40f45,2023-03-31,NA,10,u%rge)nt,19,NA,NA
T-e97$d%a3,NA,2024-04-04,2024-04-05 01:00:00,25 ,low ,81,NA,FALSE
T-990a(0e ,A@-fa3095,2024-11-06 ,2024-11-08 ,48,high,28,NA ,FALSE
T-ce1dee,!A-d792a6,2024-10-10,2024-10-11 08:00:00,32,low,126,NA ,FALSE
T-b-7b797,A-bbc3!46,2024-03-11,2024-03-12 11:00:00,35,medium,24,NA,NA
t-84(7498,a)-7cfe77,2023-07-17,2023-07-19 11:00:00,59,high,36,NA,false
T-2ef49-b,A-cc1.d8d,2023-09-15,2023-09-16 21:00:00,NA,me$dium,33,5,FALSE
T*-^fb6fa3 ,A-0a6@2f5 ,2024-11-26,2024-11-26 08:00:00,8,NA,57,NA,NA
T-a3f900,A-ae052e,NA,2023-07-23 05:00:00,29,med#ium,126,3,FALSE
T-b9e7.df ,A-526d93,2023-05-10,2023-05-10 05:00:00,5,me&dium ,158,NA,NA
T.-0e6db2,A-.ccc747,NA,2024-06-29 12:00:00,60,urgent,169,5,FALSE
#T-4c2f4b,A-)726cfa,2023-12-02 ,2023-12-03 13:00:00,37,hig$h,NA,NA,FALSE
NA,A-39868b,2024-03-26,2024-03-26 22:00:00 ,NA,medium ,137,NA,FALSE
T-9876fb,A-2e3bad,2024-01-18 ,2024-01-18 14:00:00,14,high,92,NA,FALSE
T-2c6679 ,NA,2024-07-16,2024-07-18 03:00:00,NA,medium,NA,5,NA
$T-03303d ,A-_87+aa7b,2023-11-29,2023-12-01 11:00:00,NA,high,7,NA,TRUE
T--1ed4c4,A-c62e55,2024-03-21 ,2024-03-21 15:00:00,15,urgent,129,5,FALSE 
T-7c6ab3,A-65a46c,2024-12-23,2024-12-25 09:00:00,57,urgent,96,5 ,FALSE
T-67bfcf,A-3932db,2023-09-01,2023-09-02 12:00:00,36,urge-nt,144,3,FALSE
T#-08_8eb6,A$-ac14bb,2024-03-28,NA,21,NA,23,NA,FALSE
T%-b4bec0,A-117171,2023-08-05,2023-08-06 09:00:00,33 ,u_rgent,137,NA,FALSE
T-03d219,A-ae052e,NA,2024-01-04 05:00:00,53 ,urgent,6,NA,FALSE
t-7c2d38,a-ad^3abd,2024-11-03,2024-11-03 01:00:00,1,high,NA,NA,false
@T-1112c6,A-de24d5,2023-09-22,2023-09-25,72,urg&ent,24,3,FALSE
T-938c6d,A-a8d89d,2023-08-19,2023-08-21 12:00:00,60,NA,132,NA,NA
t-d2e2.73,a-9f9299,2024-10-05,NA,5 ,high,94,NA,false
T-bd!c72c,A-3-4d880,NA,2024-11-21 14:00:00,62,medium,NA,3,FALSE
T-7d4777,A-662(24b,2024-11-20,2024-11-21 16:00:00,40,medium,4,3 ,FALSE
T-03624c,A-7c6b6&b,2024-01-29,2024-01-31 10:00:00,58,low,68,3,FALSE
(T-*3f*ab11,A-463db0,2023-03-12,2023-03-14 07:00:00,55,h+igh,NA,5,FALSE
T-37f+2cf,NA,2024-05-29,2024-05-30 17:00:00,41,NA,127,5,TRUE
T$-826f63,A-f9cc74,NA,2023-07-26 ,NA,low,169,NA ,FALSE 
%T@-f7$e(c04,A-a+d296#b,2023-10-18,2023-10-18 16:00:00,16,urgent,74,NA,TRUE
*T-@856d24,A-d%bc825,2023-05-05,2023-05-07 05:00:00,53,%high,166 ,NA,FALSE
.T-)cbfd6b,A-8b0451,2023-03-15,2023-03-16 01:00:00,25,m&e%dium ,137,4,FALSE
T-666)36b,A.-37f969,2023-07-25,2023-07-27 22:00:00,70 ,&medium,116,4 ,FALSE
T-be44ea,A-bc&4d48,2024-09-17,2024-09-19 01:00:00,49,NA,19 ,5,FALSE
_T-fcd&539,A-7da956 ,2024-07-12,2024-07-12 21:00:00,21,urgent ,97,NA,FALSE
T-433a53,A-2_97a2d,2023-02-28,2023-02-28 10:00:00,10,high,160,NA,FALSE
T-#5fb9f7,A-0f7d^77,NA,2023-01-06 19:00:00,19,me#dium ,88,NA,FALSE
T-ced995,A-76fa+4d,2024-06-24,2024-06-25 19:00:00,43,urgent ,92,NA,FALSE 
NA,-A-bbe-56f,2024-06-28,2024-06-30,48,low,107,5,FALSE
T-58a90d,A-cb6c!c6,2024-11-25 ,2024-11-26 02:00:00,26,%h#igh,170,3,FALSE
T-8(8(33a5,%A-a1b80)b,2023-12-02 ,2023-12-03 10:00:00,34,medium,NA,4,FALSE
T(-ef7c6e,A-f446b6 ,2024-05-14,2024-05-14 01:00:00,1,high,47,5 ,FALSE
T-b8!ed8f,NA,2023-01-18,2023-01-18 11:00:00,11,high,99,NA,FALSE
NA,A-f5&1f16,2023-06-16,2023-06-16 09:00:00,9,m-edium,73,3,FALSE
T-290bd4,A-ccc747,2023-06-02,2023-06-02 03:00:00,3,me^dium ,18 ,NA,FALSE
T-c4%5238,A-3+f9cc0,2024-11-03,NA,60,medium ,139,NA,FALSE
T-a&8d.e52,A-5b4e@bb,2024-11-07,2024-11-07 17:00:00,17,(med+ium,128,5 ,FALSE 
T-73259$c,A-54e%cc2,2023-05-09,2023-05-09 20:00:00,20,medium,59 ,NA,FALSE
T-eace7b,NA,2023-02-12,2023-02-13 08:00:00,32,low,156,NA,FALSE 
+t-9cb671,a-ce550d,2023-06-11 ,2023-06-13 07:00:00,55,high ,73,NA,false
T-ae23c2,A-7e0a10,2023-03-09,2023-03-10 15:00:00,39 ,u+rgent,127,5,FALSE
T-1cbbd0,A-c1dfe1,2024-01-28,2024-01-29 09:00:00,33 ,urgent,38,4,FALSE
T-78b6e2,A-55f257,2023-09-11,2023-09-12 07:00:00,NA,high,45,5 ,FALSE
T-a.941f1,A-a0*9355,2023-10-20,2023-10-20 08:00:00 ,8,low,129,5,FALSE
T-66+784_5,A-82861(f,2024-09-17,2024-09-17 11:00:00,11,urgen%t,77,NA,NA
T-5@462^23,A-ccabf0,2023-01-04,2023-01-06 13:00:00,61,NA,NA,4,FALSE
T$-6A2899,NA,2023-09-12,2023-09-14 03:00:00,51,$MEDIUM,136,NA,TRUE
T-ce#b^781,A-7125)33,2023-07-17,2023-07-17 09:00:00,9,-low,108,3,FALSE
T-36534(2,A-39868b,NA,2023-04-05 05:00:00,29,low,146,5,FALSE
T-e9e7a7,A-3be56b,2023-06-17,2023-06-17 22:00:00 ,22,low,107,3,FALSE
T-4be.927,A--96bbc6 ,2023-11-04,2023-11-06 14:00:00,62,low,31,3,FALSE
)T-5b7600,NA,2023-08-28,2023-08-29 21:00:00,45 ,medium,127,5,FALSE 
T-d0e9c2,A-0+f6450,NA,2024-02-28 12:00:00,36,m#edium,NA,NA,FALSE
)T-)62d8ce,A-50f3f7,2024-09-01 ,2024-09-02 02:00:00,26,low,165,5,FALSE
T-!2a24d4,A-8145a0,2023-08-19,NA,NA,urg#ent,87,NA,FALSE 
T-a-3d1d0,A-c58f49 ,2023-08-24,2023-08-25 20:00:00,44,urge_nt,54,NA,FALSE
.T-ade86f,A-e3bd7^1,2024-01-25,2024-01-25 16:00:00,NA,NA,96,NA ,FALSE
&T-b8e4c5 ,A-ef84cf,2023-11-03,2023-11-04 10:00:00,NA,low,98,NA,FALSE
T-ffeda5,A-560d27,2023-11-12,2023-11-13 16:00:00,40 ,medium,NA,NA ,NA
T-e@938b%b,A-832ec2,2024-07-24,2024-07-26 06:00:00,54,medi^um,171,4 ,NA
T-85af66,A-(1f7ac&b,2024-01-12,2024-01-12 13:00:00,13,medium,165,NA,FALSE
T-e13c08,NA,2023-12-28,NA,6,low,23,NA,FALSE
T-f365f1,%A-9779ad,2024-10-14,2024-10-15 19:00:00,43,med*iu*m,161,5,FALSE
T-dd45ee,A-8^e*d&5dd,2024-12-09,NA,8,high,97,NA,FALSE
T-59d842,*A.-158f4%e ,2024-08-05,2024-08-07 19:00:00,67,medium,168,NA,FALSE
T-4a!1@2e6,A-d42431,2024-08-07,2024-08-08 23:00:00,47,urg(ent,108,5,NA
T-3bfb5^1 ,A--4.25(e7+6 ,NA,2024-05-07 23:00:00,23,high,60,NA,FALSE
$T--d3391b,A-cb5333,2023-11-25,2023-11-27 17:00:00,65 ,low,165,NA ,FALSE
NA,A-798a!3+f,2023-07-16,2023-07-18 10:00:00,58 ,urgent ,NA,NA,FALSE
T-300e1$6,A-22d9d2,2024-10-15,2024-10-15 04:00:00,4,urgent,131,NA,TRUE
NA,A-e3bd.71,NA,2023-11-10 08:00:00,32,high,143,NA,FALSE
T-1760ba,NA,2023-08-03,2023-08-04 12:00:00 ,36,med+ium,1,3,FALSE 
T-a231f8,A-7)6fa4d,2023-04-19,2023-04-19 22:00:00,22 ,high,177 ,NA,FALSE
T-7+06693,NA,2023-12-31 ,NA,38,medi.um,19,NA,FALSE
NA,A-90a8c8,2023-10-13,2023-10-14,24,.low,33,3,FALSE 
T-a.427d8,A+-4ef964,NA,NA,5,high,NA,3,FALSE
NA,A-104f1a,2024-12-30,2024-12-30 12:00:00,NA,medium,37,NA,FALSE
T^-!a#bb56%2,NA,2023-09-08,NA,12,low,NA,5,FALSE
T-a819c9,A-139c3b,2023-07-11,2023-07-13 14:00:00,62,NA,38,NA,FALSE
T-36d4a7,A-90$2ef#7,2024-07-07,2024-07-08 13:00:00,37,urgent,130,NA,FALSE
T-5c2f82 ,@A-1f5@59b,2023-12-13 ,2023-12-15 20:00:00,68,urgent,NA,4,FALSE
T-*70(1980,A-ced9aa,2023-09-15,2023-09-15 20:00:00,20,NA,125,3,FALSE
T-5f+6c1)5,A-e43bf7,2024-12-25,2024-12-25 05:00:00,5,medium,NA,3,FALSE
T-07593c,A-310452,2023-11-24,2023-11-24 11:00:00,11,medi$um,145,3,FALSE
T-680+7e7,A--a3320&0,2023-08-23,NA,NA,l$ow,118,4,FALSE
T-027d8f,A!-508^199,2024-03-23,NA,44,urge+n%t ,27,NA,FALSE 
T-3798D5,NA,2024-03-28,2024-03-28 12:00:00,12,MEDIUM,56,NA,FALSE
T-763f2d,A-118f(1c,2023-06-22,2023-06-24 16:00:00,64,medi*um,141,3,FALSE
T-196fca,A-684)3)f2,2024-04-27 ,2024-04-29 13:00:00,61,high,22,3 ,FALSE
T-*b2ad%ad ,A-54(ecc2 ,2024-10-29,2024-10-31 09:00:00,57,medium,20,5,FALSE
T-37(b69f ,A*-bb-1$eaa ,2024-05-21,2024-05-21 01:00:00,1,urgent,114,4,FALSE
T-f873ff ,A-91#23ac,2023-04-21,2023-04-22 16:00:00,40,low,73,4,FALSE
T-2^a2ecd,A-533452,2023-10-26,2023-10-27 23:00:00,47 ,mediu*m,30,NA,FALSE
T-)b29%471,NA,2023-06-11,NA,40,high,53,NA,FALSE
T-c32093,A-313be3,2023-01-27,2023-01-27 08:00:00,8,urg)e$nt,41,NA,FALSE
&t-f0.f18c,a-ed510f,2023-03-31,2023-04-02 16:00:00,64,hi@gh,137,NA,false
T-4c7b15 ,$A-443f6f,2023-01-22,2023-01-24 02:00:00,50,_low,126,5,FALSE
T-ca36f7,A--$812_c5)b,2023-02-28,2023-03-01 14:00:00,38,NA,108,4,FALSE 
T-a1+bab0,A-45ce7a,2023-04-25,2023-04-27 02:00:00,50,med%ium ,141,4,FALSE
T-^5daa6c,A-f44180,2024-04-28,2024-04-29 08:00:00,NA,low,157,5 ,NA
T-ea0%979 ,A-855a48,2024-06-30,2024-07-01 14:00:00,38,u+rge)nt,177,NA,FALSE 
T-308071,A$-f51f16,2023-04-16,2023-04-17 11:00:00,35,high,10,3,FALSE
T-E%D091B,_A-09%316C,NA,2023-08-14 10:00:00 ,58,MEDIUM,129,4,FALSE
T-fd14d8,A-75$1c58,2023-06-21,2023-06-23 01:00:00,49,medium,NA,NA,FALSE
T-3a3_a53,NA,2024-12-18,2024-12-19 02:00:00,26,medi&um,89,5,FALSE
T-35ae60,A!-7641d3,2023-12-17,2023-12-19 22:00:00,70,mediu&m,174,NA,FALSE
T-93F5F0,A-3C1A3F,2023-08-04,2023-08-04 05:00:00,5,LOW,20 ,NA,FALSE
*T-0A&835D,A-0AAF6E,2023-11-06,2023-11-08 08:00:00,56,LOW,14 ,NA ,FALSE
T-a79931,NA,2023-08-23,2023-08-25 05:00:00,53,low,NA,4,FALSE
NA,A-50f3f7 ,2023-05-31,2023-06-02 07:00:00,NA,low ,41,NA,FALSE 
T-ee77ae,)A-8ed5dd,2024-05-17,2024-05-19 03:00:00,51,low ,87,NA,FALSE
T-fb798a,A-8bde0%c,2024-11-07,2024-11-07 09:00:00,9,+medium ,64,NA,FALSE
t-b0b(086,a-bb3bd4,NA,2023-02-19 11:00:00,35,medi$um,65,5,false
T&-@6de710,NA,2024-02-04,2024-02-05 18:00:00,42,low,55,NA,FALSE
T-d319e4,!A-eb7c3@8,NA,2024-03-05 01:00:00,25,low,46,NA,FALSE
T-041287,.A-3_4ea2f,2024-07-15,2024-07-17 22:00:00 ,70,u(rge@nt ,19,4,FALSE
T-496c)6^b,NA,2024-08-23,2024-08-25 21:00:00,69,low,150,3,FALSE
T-d92e2e,A-+712426 ,2024-07-18,2024-07-20 19:00:00,67 ,high,67 ,4,FALSE
T-6f8270,A-d_bc825,2023-11-11,2023-11-14 ,72,NA,118,3,FALSE
T-2a21f8 ,A-1)f7acb,2024-05-30,2024-05-30 08:00:00,8,m(ed^ium,92,4,FALSE
T-08e86b,A-9f9299,2023-10-05,2023-10-05 03:00:00,3,NA,160,NA,FALSE
T-bdbc_42,A-31ab9a,2024-09-09,2024-09-11 14:00:00,NA,urgent ,90,4,NA
t-996921,^a-751bd4,2024-11-13,2024-11-14 17:00:00,41,urgent,NA,5,false
*T-c722ef,A-ced^9aa,NA,NA,18,NA,69,NA,FALSE
T-100066,A-(7f6b86,2023-01-11,NA,48,h)i)gh,166,NA,FALSE 
T@-5$1^30@7e,^A-b78bf8,2023-09-15,2023-09-16 16:00:00,40,low,93,NA,FALSE
T-e545&b2,A-^dfbd31,NA,2024-01-10 21:00:00,45 ,low ,158,5,FALSE
NA,A-e7beab,2023-04-25,2023-04-27 15:00:00,63,low,138,3,FALSE
T-287b04,A-92a333 ,2023-05-07,2023-05-08 01:00:00,25,NA,11,NA,FALSE
NA,A-4bfa33,2024-06-29,2024-06-29 16:00:00,NA,high,180,3,NA
T-c2b413,A-90a8c8,2024-03-31,2024-04-02 22:00:00,70 ,urgent ,13,3,FALSE
T-a7489_c,A-7e0*a10 ,2024-01-24,2024-01-26 20:00:00,68,high ,72,NA,FALSE
T-0%11d5c ,A-a@09355 ,2023-05-13,2023-05-15 15:00:00,63,NA,34,3 ,FALSE
T-af4249,A-de@c005,2023-10-02,2023-10-04 18:00:00,66,low,180,3,FALSE
T-29*04e8,A-692f18,2024-11-11 ,2024-11-11 20:00:00,20,low,144,NA,FALSE 
T-a9333e,A-*5+ed98d,NA,2024-09-09,72,m@edium ,77,NA ,FALSE
T-4d5bca,A-#970c97,2023-01-29,2023-01-31 13:00:00,61,urgent,139,5,FALSE
t-f0d&824,a--b%9f5b1,2023-12-01 ,2023-12-02 04:00:00,28,urgent,165,3,NA
T-05b&5f6,A-@cc1d8d,2024-03-05,2024-03-06 16:00:00,40,NA,137,NA,FALSE
T-24%6510,A-BB3BD4,2024-09-29,2024-09-30 17:00:00,41,H-IGH,160,5,FALSE
T-e7f#66c,A-241e75,2023-04-25,2023-04-27 04:00:00,52,(l.ow,136,NA ,FALSE
NA,NA,2023-10-10,2023-10-12 13:00:00,NA,^medium,78,3,FALSE
T-0e3@932,A-118d55,2024-12-09,2024-12-09 11:00:00,11,(medium,32,NA,FALSE
T#-52fd00,A-0532a9,2023-01-29 ,NA,7,medium,49,NA,FALSE
-T-d5e01b,A-de24d5,2023-12-29,2023-12-29 01:00:00,1,high ,177 ,NA,FALSE
T-5a.765e,A-.3cc791,2024-02-27,2024-02-29 23:00:00,71 ,hi$gh,38 ,NA,FALSE
*T-1bc%086,A-00cac8 ,2023-09-15,2023-09-15 01:00:00,1,NA,92,NA,FALSE
T-30a+b22 ,A-65a!eb5 ,NA,NA,53,high ,146,5 ,FALSE
T-A1EBC+A,A-712426,2024-12-10,2024-12-11 08:00:00 ,32,NA,43,4,FALSE
T-d9e588,A-bbe56f,2024-08-01,2024-08-01 07:00:00,7,low,117,3 ,FALSE
T-765765,A-^44$37@e-4,2023-08-13,2023-08-14 20:00:00,44,NA,120,NA,FALSE
$T-848076,A-!c42f1f,2023-10-31,2023-10-31 08:00:00,NA,low,105,3,FALSE
T-0064!4f,A%-8ad%ed#c,NA,2023-05-24 18:00:00,66,NA,NA,NA,FALSE
NA,A_-e4bf56,2023-07-10,2023-07-12 04:00:00,52,urgent,72,5,FALSE
T-d1!c41b,$A)-98a59a,NA,2023-03-23,24,high,68,NA,FALSE
T-(09$0534,A-cc8c8f ,2023-11-30 ,2023-11-30 07:00:00,7,urgent,143,4,FALSE 
T-367cc@3,NA,2024-08-31,2024-08-31 01:00:00,1,+medium,159,NA,FALSE
T-f!86b35 ,A-139c3b ,2024-09-13 ,2024-09-13 11:00:00,11,urgent,108,NA,FALSE
T-e23a37,A-855a48,NA,2023-05-11 13:00:00,13,high ,55,NA,NA
T-77_6916,A-0a#282f,2023-06-12,2023-06-14 17:00:00,65,m_edium,12,5,FALSE
T-0854f6 ,A-310452 ,2024-01-31,2024-02-02 19:00:00,67,urgent,178,3,FALSE
T-2c)34c5,A-03436(8,2023-08-29,NA,65,low,34 ,5,FALSE
T-_270^c2@5,A-81*edc3,2023-12-19,2023-12-21 21:00:00,69,NA,56,NA,FALSE
T-f3e69b,NA,2024-10-03,2024-10-05 19:00:00,NA,me-dium,70 ,NA,FALSE
T-2987d9,A_-50^f3&f7,2023-04-17,2023-04-18 06:00:00,30,urgent,155,5,TRUE
T-da63ee,A-149a$69 ,2023-01-30,NA,33,high,79,NA,FALSE
T-44b600,A-eafc6@e,2023-07-14,2023-07-16 16:00:00,64,me_dium,136,NA,FALSE
T-4d0d^5b,A-5a215a,2024-12-06,2024-12-06 12:00:00,12,urgent,126,4,NA
T-7c^ca37,A-dbc825,2024-10-02,2024-10-03 16:00:00,40,med+ium ,128 ,5,TRUE
T-122#749,A--4e960#a,2024-01-14,NA,43,low,NA,NA,FALSE
t-27d61d,a-c7e58b,2024-01-25,2024-01-25 13:00:00,13,medium,171,NA,false
T-86e757,A-82d8a^6,2023-10-29,2023-10-31 03:00:00,51,high,129,NA,FALSE
T-13e2_c4,A-92(a3af,2024-03-17,2024-03-19 23:00:00,NA,.medium,29,NA,FALSE
-t-df9759,a-b_772.4.f,2024-12-30,NA,15 ,med_i$um,86,3 ,false
T-c-556c6,A#-7c5768,2024-11-21,2024-11-23 02:00:00,50,high,39,4,FALSE
t-_e5782(8,NA,2023-04-16,2023-04-17 19:00:00,43,high,52 ,NA,false
T-#fc25d0,A(-fd7ad3 ,2024-08-17,2024-08-19 13:00:00,61,hig$h,138 ,NA ,FALSE
T-_743f1*5,-A-d4*9cc5,2024-12-21,2024-12-23 16:00:00,64,urgent,2,NA,FALSE 
T-9bb)ea1,A-b54)c01,2023-02-06,NA,52,NA,172,NA,FALSE
T-9bf64e,A-3-c+e5b8,2023-10-07,2023-10-08 05:00:00,29,high,87 ,NA,FALSE
!T-7cefd9,A-7920cc,2023-03-31,2023-04-02 15:00:00,63,medium,146,5,FALSE
T-9717fc ,A#-cea1f0,2024-05-11,2024-05-13 09:00:00,57,medium,145,NA,FALSE
T-b4346)4,NA,2024-07-15,2024-07-17 20:00:00,68,high,NA,3,FALSE 
T-#29abed,$A-cd458b,2024-03-28,2024-03-30 02:00:00 ,50,urg+e!nt,39,NA,FALSE 
T-4e24d4,.A-b3f_e05,2023-05-29,2023-05-31 18:00:00,66,urgent,75,NA,FALSE
T-990f20,A-6a7c&9d,2024-08-15,2024-08-16 04:00:00,28,me.dium,42,3,FALSE
T-618d10,A-afa505,2024-09-25,2024-09-25 19:00:00,19,urg%ent,130,NA,NA
T-9736d7 ,A-d#4e0d4,2023-08-12,NA,19,med+iu-m,66,NA,FALSE
T-7a48cd,A-%4c38bc,2024-07-27,2024-07-29 18:00:00,66,medium ,37,4,FALSE
$T%-8f1182,A-fa3095,2023-05-25,2023-05-27 02:00:00,50,NA,98,NA ,FALSE
