customer_id,signup_date,plan_type,monthly_fee,acquisition_cost,churn_date
1128,NA,PRO,200,100,NA
1129,2024-09-07,Basic,50,30,NA
1130,2025-04-08,Pro,200 ,100,NA
1131,2025-02-20,Pro ,200,100,NA
1132,2024-11-07,NA,NA,30,2025-05-02
NA,2024-03-30,P^ro,200,100,NA
1134,2024-02-15,&PRO,200,100,NA
1135,NA,_Basic,NA,30,NA
1136,2025-03-04,ENTERPRISE,500,200,NA
1137,2024-01-08,Bas(ic,50,30,NA
1138 ,2024-06-30,Basic,50,30,NA
1139,2024-10-16,Enterprise,500,200,NA 
1140,2025-01-09,NA,200,100,NA
1141 ,NA,Ba*sic,50,30,NA
NA,2024-12-06,Ent(erprise,500,200,NA
1143,2024-04-13,+Pro ,200 ,100,2025-01-27
1144,2025-06-06,Pro,200,100,NA
1145,2024-11-08,B#asi.c,NA,30 ,NA
1146 ,2024-06-19 ,Pro ,200,100,NA 
1147,2025-03-29,Pro,200,100,NA
1148,2025-05-11,Enterprise ,500,200,NA
1149,2025-06-15 ,Pro,200,100,NA 
NA,2025-03-14,Basic,50,30,NA
1151,2024-07-07,En^terprise ,NA,200,2025-04-24
1152,2024-11-24,En#terpri$se,500,200,NA
1153 ,2024-09-17,BASIC,50,30,NA
1154,2025-06-26,#Basic,50,30,2025-06-30
1155,2024-04-12,Basic,50,30,NA
1156,2024-12-18,En(terprise,NA,NA,NA
1157,2025-04-27,Enterprise,500,200,NA 
NA,2024-06-19,Ente-rp@rise ,500,200,NA
1159,2024-05-30 ,ENTER^PRISE,500,200,NA
1160,2025-04-27,Basic,50 ,30 ,NA
1161,2024-11-28,Pro,200,100,NA
1162,2025-05-16,Basic,50,30,NA
1163,2024-02-06,Enterprise,500,NA,NA
1164,2024-09-23,pro,200,NA,NA
1165,2024-11-08,Ba*sic ,NA,30,NA
1166,2025-04-14,basic,50,30,NA
1167,2024-01-11 ,Enterprise,500,200,2025-01-21
1168,2025-03-22,Pro,200,NA,NA
1169,2024-01-01,Ent@erpri(se ,500,200,NA
1170,2024-02-18,Pro,200,100,NA
NA,2024-08-01,Ente#rprise,500,200,NA
1172,2024-10-12,En)t)erp.rise,500,200,NA
1173,2024-03-26,Ba-si)c,50,30,NA
NA,2025-04-13,Basi!c,NA,30,NA
1175,2024-07-16 ,En.terpris-e,500,200,2024-09-13
1176,2024-02-11,NA,500,200,NA
1177,2024-02-03,Basic,50,30,NA
1178,2025-01-30 ,BASIC,50,30,2025-03-26
1179,2025-03-16,E.nterprise,500 ,200 ,NA
1180,2024-04-21,Pro,200,100,NA
1181,2024-01-09,Ba*sic,50,30,2024-06-03
1182,2024-12-31,Enterprise,500,200,NA
1183,2025-06-16,Pro,NA,100,NA 
1184,2024-11-24,BASI*C ,50,30,NA
1185,2024-12-11 ,Pro,200,100,2025-06-27
1186,2025-05-18,Pro,200,100,NA
1187,2024-03-22,ENTERPRIS)E ,500,200,NA
1188,2024-07-04,Pro ,200,100,2024-09-04
1189,2024-10-04,Pro ,200,100,NA
1190,2025-01-30,Enterprise,500,200,NA
1191,2025-04-05,Pro,200,100,NA 
1192,2025-05-16,Basi*c,50,30,NA
1193,2024-01-24,!Pro,200,100,2025-03-28
1194,2025-03-23,Pro,200,NA,NA
1195,2024-08-23,NA,500,200,NA
1196,2024-03-01,Enterprise,500,200,NA
1197,2025-03-08,Basic,NA,30,2025-06-23
1198,2024-08-02,Pro,200,100,NA
1199,2024-11-16,NA,50,30,NA
1200 ,2024-03-25,Pro,200,100,2025-06-17
1201,2025-02-15,NA,200,100,NA
1202,2024-03-28,En#terp&ris+e,500,NA,NA
1203,NA,Pro,200,100,NA
1204,2024-01-05,Enter$prise,500,200,NA
1205,2025-06-26,Pro,200,NA,NA
1206,NA,Pro,200,100,NA
1207,2025-02-07,Basic,50,30,NA
1208,2025-04-18,Pro,200 ,100,NA
1209,NA,Bas(ic,50,30,NA
1210,2024-08-09,Enterprise ,500,200,2025-03-08
1211,2025-03-20,Pro,200 ,100,NA
1212,2025-04-27,Basic,50,30,NA
1213,2024-09-05,Enterprise,500,200,NA 
1214,2024-03-25,Enterprise,500,200,NA
1215,2024-03-08,Enterprise,500,200,NA
1216,2024-10-28,Basic,50,30 ,NA
1217,2025-02-23,_BASIC,50,30,NA
1218,2024-05-03 ,Basic ,50,30,NA
1219,2024-10-28,-Pr^o,200 ,100,NA
1220,2024-03-29,NA,50,30,2024-11-05
1221,2025-05-05,E_nt-er^p$rise,500,200,NA 
1222 ,2024-02-09,^Pr*o,NA,100,2025-04-01
1223,2025-02-28 ,Enterprise ,500,200,2025-05-23
1224,2024-11-19,Pr*o,200,100 ,NA
1225 ,2025-06-04,Enterpr^ise,500,200,2025-06-30
1226,2024-10-06,NA,50,30,2025-03-18
1227,2025-03-06,Enterprise,500,200,NA
1228,2024-07-03,En$ter&prise,500,200,NA
1229,NA,Enterpri@se,500,200,2025-05-13 
1230 ,2025-01-07,Enterprise,500,200,NA
1231,2024-02-05,)Pro,200 ,100,NA
1232,2025-04-19,Enterprise,500,200,NA
NA,2024-11-23,NA,200,100,NA
1234,2024-10-21,B+asic,50,30,2025-02-26
1235,2025-02-24,-Enterp(rise,500,200,2025-03-31
1236,2025-04-05 ,NA,50,30,NA
1237 ,2024-11-22,Enterpri(se ,NA,200,NA
1238,2025-04-24,Pro,200,100,NA
1239,2024-05-21,Pro,200 ,100,2025-05-28
1240,NA,En%terpr&ise,NA,200,NA
1241,2024-09-06,Pr*o,200,100 ,2025-03-16
1242,2025-03-09,NA,50,NA,2025-06-19
1243,2024-05-16,BASIC,50,30 ,NA
1244,2024-04-22 ,E*nterprise,500,200,NA
1245,2025-03-26,Basic ,50,30,NA
1246,2025-05-30,Enterprise,500 ,200,NA
1247,2024-05-28,P.r)o,200,100 ,2024-08-21
NA,2025-05-29,Enterpr_ise,500,200,NA
1249,NA,Enterprise,NA,200,NA
1250,2024-10-12,Pro,200,100,NA
1251,2025-03-02,Basic,NA,30,NA
1252,2024-02-21,NA,50,30 ,NA
NA,2024-12-09,NA,NA,100,NA
1254,2024-04-15,+Enter&pr@ise,500,200,NA
1255,NA,Pro,200,100,NA
1256,2025-02-14,Basic,50,30,NA
1257,2024-03-28,Enterprise,500,200 ,2024-06-20
1258,2024-02-26,Pro,200,100,NA
1259,2024-05-10 ,BASIC ,50,30,NA
1260,NA,_Pr(o,200,100,NA
1261,2025-05-06,Pro,200,100,NA
1262,2025-05-07,Enterprise,500,200,NA
1263,2025-01-12,Basic,50 ,30,2025-06-20 
1264 ,2024-12-13,Pr_o,200,100,NA
1265,2024-03-18,B#asic,50,30,2024-06-23
NA,2024-04-01,NA,500,200,NA
1267 ,2024-05-27,E.nterprise,500,200,NA
1268,2024-05-22,e^n)terpr+is%e ,500,200,NA
NA,2025-01-28,Pro,200,100 ,NA 
NA,2025-05-03,E%nterprise,500 ,NA,NA
1271,2024-11-23,NA,200,100,NA
1272,2025-04-09,Basic,50,30,NA
NA,2024-10-24,Pro,NA,NA,2025-05-17
1274,2025-01-12,PRO,200,100,NA
1275,2024-11-05,!Enterprise,500,200,NA
NA,NA,Pro,200,NA,NA
1277,2025-06-23,Enterprise,500,200,2025-06-30
NA,2025-04-23,Enterprise,500,200,2025-06-05
1279,2024-09-09,Enterprise,500,200,NA
1280,2025-04-28,NA,50 ,30,NA
1281,2024-06-22,Bas@ic,50,30,NA
1282,NA,P@ro,200,100,2025-06-24
1283,2024-05-10,Ent$erprise,500,200,NA 
1284,2025-03-10,Basi-c,50,30,NA
1285,2025-05-15,Enterprise,500,200,NA
1286,NA,Ent^erprise,NA,200,NA
1287,NA,NA,50,30,NA
1288 ,NA,NA,200 ,100,NA
1289,2024-08-02,Enterprise,500,200,NA
1290,2024-09-06,Pro,NA,100,NA
1291,2024-07-13,-B#as_i%c,50,30,2024-08-31
1292,2024-04-02,Basic,50,30,2024-07-25
1293,2025-01-29,Basic,50,30,NA
1294,2024-03-25,Enterprise ,500,200,2025-05-26
1295,2025-04-08 ,PRO,200,NA,NA 
1296,2025-06-06,Basic,50 ,30,NA
1297,NA,Ba^sic,50 ,30,NA
NA,2024-12-24,Pro,200,100,NA
1299,2025-04-27,ENTERPRISE,NA,200,NA
1300,2024-02-14,Ente!rpri&se,500,200,NA
1301,2025-02-04,basic,50,30,NA
1302,NA,P&ro,200,100,NA
1303,2024-12-07,NA,500 ,200,NA
1304 ,2025-03-08,_Basic,50,30 ,NA
1305 ,2024-04-12,#Bas^ic,50,30,NA
1306,2025-05-20 ,Pr*o,200,NA,NA
1307,2025-03-26,Enterpr!ise,500,NA,NA
1308,2024-05-18,Basic,50,30,2025-04-02
1309,2024-08-28 ,Basic,50,NA,2024-11-02
1310,2024-08-05,Basic,50,30,NA
1311,2024-09-07,Basic,50,30,NA
1312,2024-11-23,_Basic,50 ,30,2025-03-18
1313,2024-02-01,Enterp(ri$se,500 ,NA,2025-02-24
1314,2024-04-10,NA,200,100,NA
1315,2024-06-26,BA^SIC,50,30,NA
1316 ,2024-03-19,Enter#prise,500,200,NA
1317,2024-11-15 ,Enterprise,500,200,NA 
NA,2024-09-28,NA,500,200,NA
1319,2024-03-09 ,Basic ,50,30 ,NA
NA,2024-07-10,NA,500,200,NA
1321,2024-08-10,NA,500,200,NA
1322,2024-05-28,e-nterprise,500,NA,na 
NA,NA,NA,200,100,NA
1324,NA,NA,500,200 ,NA
1325,2024-10-08,Basic,50 ,30,NA
1326,2025-04-07,Enterprise,500,200,NA
1327,2024-12-15,Enterprise,500,200 ,NA
1328,2025-06-17,!Enterp&r)ise,500,200,NA
1329,2025-02-19,ENTER%P-RISE,NA,200,NA
1330,2025-05-05,Ente$rprise ,NA,200,NA
1331,2025-03-29,Pro,200,100,NA
1332,2025-01-21,Pro,200,100,2025-04-14
1333,2024-10-30,Enterprise,500,NA,NA
1334,2024-08-13 ,Enterpri^se,500,NA,NA
1335,2025-04-07,$Pro,200,100,NA
NA,2024-11-21 ,Enterprise,500,200,NA 
1337,2024-08-20,Basic,50,30,NA
1338,2025-01-18,Basic,50,30,NA
1339 ,2024-02-27,Basi@c,50 ,30,NA
1340,2024-09-30,Basic,50,30,NA
1341,2024-08-21,%Basi#c,50 ,30,NA
1342 ,2024-11-30,Ba_sic,50,30,NA
1343,2024-04-28 ,pro,200,100,NA
NA,2025-01-17 ,Enterprise,500,200,NA
1345,NA,Enter.prise,500,200,NA
1346,2024-03-22,P+ro,200,100 ,2024-07-02
1347,2024-11-13,Basic,50,30,2025-04-20
1348 ,2025-06-25,Enterpris#e ,500 ,200 ,NA
1349,2024-05-01,Pro,200,100,NA
1350,2024-11-16,PR#O,200,100 ,NA
1351,2024-09-01,Enterprise,500,200,NA
1352,2024-02-21,Enterprise,500 ,200,2024-10-26
1353,2024-07-29,NA,500,200,NA 
NA,2024-07-05,.ENTERPRISE,500,200,NA
1355,2024-12-04,E!nter*prise,500 ,200,NA
1356 ,2024-12-28,Pro,200 ,100,NA
1357,2025-03-08,NA,500,200,NA
1358,2024-06-16,Enterprise ,500,200 ,2025-03-22 
1359,2025-04-24,Basi(c,50 ,30,2025-06-25
1360,2024-01-23,Basic,50,30,NA 
1361,2025-06-28,Enter!prise,500,200,NA
1362,2025-05-07,Ent!erpri$se,500,200,NA
1363 ,NA,Pro,200,NA,NA
NA,2025-06-26,Basic,50,30,NA
1365,NA,Pro,200 ,100,NA
1366,2024-02-29,Basic,50,30 ,NA
1367,2025-01-14,Pro,200,100,NA
1368,2024-12-10,Basic,50,30,NA
1369,NA,@Pro,200,100,NA
1370,2024-11-14,Pro,200,100,NA
1371,2024-06-01,Enterprise,500,200,NA
1372 ,2025-05-29,.basic,50,30,NA
1373,2024-02-08,Enterp$r-ise,500,200,NA
1374,2024-10-24,Basi+c,NA,30,NA
1375,2024-06-21,Basic,50 ,30 ,NA
1376,2024-12-01,Ente+rprise,500,200,NA
1377,2025-03-07,Enter%pr.ise,500,200,NA
1378,NA,PRO,200,100,NA
1379,2024-09-05,.Basic ,50,NA,2025-02-11
1380,2024-03-30,Pro,200,100,2025-05-28
1381,2025-05-05,Ba_sic ,50,30,NA
1382,2025-04-08,Pro,200,100,2025-05-14
1383,2024-05-15,Basic,50,30,NA
1384,2024-12-29,Basic,50,30,NA
1385,2024-02-09 ,Basic,50,30,NA
1386,2024-04-07,Enterprise,500,200,NA
1387,2024-05-26,Enterprise,500,200,NA
1388,2024-04-19 ,Ba+sic,50,30,NA
1389,2024-06-02,%B^asic,50,30,NA
1390,2025-03-22,Pro,200,100,NA
1391,2025-01-22 ,NA,200,100 ,NA
1392,2024-12-20,Pro,200,100,NA 
1393 ,2024-09-13 ,Enterpris(e,500,NA,2025-04-28
1394,2024-02-01,Basic,50,30,NA
1395 ,2024-03-21,Ente^rprise ,500 ,200,NA
1396,2024-07-08,Enterprise,500,200,NA
1397,2024-05-16 ,NA,50,NA,NA
1398,2024-03-10,Pro,200,100,NA
NA,2024-08-23,P-ro,200,100,NA
1400,2024-11-08,Enterpris&e,500,200,NA
1401 ,NA,Enterprise,500,200,2025-05-23
1402,2025-04-26,BASIC,50,30 ,NA 
1403,2025-03-05,P$ro,200,100,NA
1404,2025-04-29,Basic ,50,30 ,2025-06-01
1405,NA,Enterprise,500,200,NA
1406,2025-02-08,Bas+ic,50,30,NA
1407,2024-11-07,En!t%erprise,500,200,NA
1408,2024-02-13,Pro,200,100,NA
1409,NA,NA,NA,30 ,NA
NA,2025-06-26,Pro,NA,NA,NA
1411,2024-10-29,Pro,200,100,NA
1412,2025-05-26,Pro,200,100,NA
1413,NA,P-ro,200,100,NA
1414,2025-02-28,Enterpris%e,500,200,2025-06-21
1415,2025-02-27,&Basi@c,50,30,NA
1416,2024-02-02,Pro,200,NA,NA
1417,2024-11-04,Pro,200,100,NA
1418,2025-05-01,Pr@o,200,100,NA
1419,2025-01-31,Pro,200,100,2025-03-31
1420,2024-10-07,Basic,50,30,NA
1421 ,2024-01-01,Enterprise,500,200,NA
1422,2024-12-09,E_nterprise,500,200,NA
1423,2024-07-13,$Bas.ic,50,NA,NA
NA,2025-04-27,Ent)erprise,500 ,200,2025-06-10
1425,2024-08-23,Enterprise,500,200,NA
NA,NA,E@nterprise,NA,200,NA
1427,2024-05-07,Pro,200,100,NA
1428,2024-06-13,NA,500,200,2025-02-24
1429,NA,Basic,50,30,NA
1430,2024-10-03,(Basic,NA,30,NA
1431,2024-09-26,Pr+o,200 ,100,NA
1432,2024-07-25,Pro,200,100,NA
1433 ,2025-05-25,Pr!o ,200,100,NA
1434,2024-10-27,Pro ,200,100,NA
1435,2024-09-28,Pr.o ,200,100,NA
NA,2024-12-25,NA,500,200 ,NA
1437,2024-03-27,Basic,50,NA,NA
1438,2025-03-28,PRO,200,100,2025-05-24
1439,2024-01-31,E-nterpri*se,500,NA,NA
1440,2024-06-19,En!te)r_prise,500,200,NA
1441 ,2024-01-30,Pro ,200,100,NA
1442,NA,NA,50,30,2025-04-08
1443,2025-02-08,Enterprise,500,200 ,2025-06-11
1444,2025-04-16,BASIC,50 ,NA,NA
1445,2025-01-06,^Pr+o,200,100,NA
NA,2025-05-02,PRO,200,100,NA
1447,NA,Pr@o,200,100,NA
1448,2024-06-30,Pr@o,200,100,2024-09-05
1449,NA,Enterprise,500,200,NA
1450,NA,B_as.ic,50,30,2025-04-27
1451 ,NA,Basic,50,30,NA
NA,NA,NA,200,100 ,NA
1453,2025-04-24,Enterprise,500,200,2025-06-16
1454 ,2024-02-22,-Enterpri*se,500,200,NA
1455,2024-11-18,Ente_rprise,NA,200,NA
1456,2024-08-19,Enterprise,NA,NA,NA
1457,2025-01-30,Enterprise,500,200,2025-06-03 
1458,2024-06-25,En%terprise,500,200,NA
1459 ,2024-08-10,Basic ,NA,30,NA 
1460,2024-03-07,Ba_sic,50,30,NA
1461,2025-05-14,Enterpri.se ,500,200,NA
1462 ,NA,pro ,200,100,na 
NA,2024-08-18,Pro,200,NA,NA
1464,2024-09-09,NA,NA,NA,NA
1465,2024-09-08,Ba@s&ic,50,30,2024-11-28 
1466 ,2024-06-26,Basic ,50,30,NA
NA,2024-10-31,Pro,200,100 ,NA
NA,2025-04-03,Enterprise,500 ,200,NA
1469,2024-10-25,Basic ,NA,30,NA 
1470,2024-12-23,Ent@erpr*ise,500,200,NA 
1471,2024-01-19,Pro,200,100,2024-05-26
1472,2024-07-06,Pro,200,100,NA
1473 ,2024-03-22,BASIC,50 ,30,NA
1474,2024-12-23,Basic,50,30 ,NA
1475,2024-08-19,P!ro,200,100,2025-03-27
1476 ,NA,pro,200,100,NA
1477,2024-10-30,Pro,200,100 ,NA
1478,2024-03-17,Pro,200,100,2024-10-12
1479,NA,NA,50,30,NA
1480,2025-04-03,!Ent-erprise,500,NA,NA
NA,2025-05-15,Enterprise,500,200 ,NA 
1482,2024-11-05,Basic,NA,30,NA
1483,2024-12-20,NA,200,100,NA
1484 ,2025-04-01,NA,50 ,30,NA
1485,2024-02-05,Pro,200,100,NA
1486,2024-09-03,PRO,200,100,NA 
1487,2024-04-29,P%ro,200,100,NA
1488,2024-01-09,NA,500,200 ,NA
1489,2024-06-15,Pro,NA,100,NA
1490,2024-05-24,PRO,200 ,NA,NA
1491,2024-06-29,Pro,200,100,NA
1492,2024-04-06,Pro,200,100,NA
1493,2025-05-12,E)nterprise,500,200,NA
1494,2024-12-19,En(terprise,500,200,NA
1495,2024-08-20 ,(Ba#sic,50,30 ,NA
1496,2024-02-06,Basic,50,30,NA
1497,2024-04-24,Basic ,50,30,NA
1498,2025-02-09,Pro,NA,100,NA
1499,2025-04-18,E+nt$erprise,500,200,NA
1500,2024-01-26,Bas&ic,50,30,NA
NA,2025-03-13,NA,NA,200,2025-05-19
NA,2025-05-07,B^asi_c,50,30,NA
1503,2024-09-05,$Ba.sic,NA,30,NA
1504,NA,Pro,NA,100 ,NA 
1505,2025-01-06,Pro,200,100,NA
1506,2024-08-18,Bas.ic,50,30 ,NA
1507,2024-10-12 ,Ent!erp%r@ise,500,200,NA 
1508,2024-10-09,Pro,200,100,NA
NA,2024-10-08,Enter)prise,500,200 ,NA
1510,2024-01-09 ,Enterprise,500,200,2024-11-20
1511,2024-03-21,Pro ,200,100,NA
1512,2024-05-05,Pro,200,100,NA 
NA,2024-07-11,Pro,200,100,NA
1514,NA,Pro,200,100,NA
1515,2025-04-03,Ente.rprise ,500,200 ,NA
1516 ,2024-12-24,_Ent%e$rpr^i^se,500,200,NA
1517,2024-03-12,NA,50,30,NA
1518,2024-03-03,B%ASIC,50,30,NA
1519,2024-02-15,En!terpr_ise,500,200,2025-06-03
1520,2024-05-01,basic,50,30,NA
1521,2024-10-30 ,Pr&o,200 ,100,NA
1522,2024-05-09,Pro,200,100,NA
1523,2024-11-09,pro,200,100,na 
NA,2024-12-02,NA,200,100,NA
1525,NA,Enterpr&ise,500,200,2025-05-13
1526,2025-02-12,Enterpr-ise,500,200,NA
1527,2024-04-25 ,Pro,200,100,NA
1528,2025-05-14,P(ro,200,100,NA
1529 ,2025-02-22,NA,NA,100,NA 
1530,2025-05-27,Basic,50,30,NA
1531,2025-04-29,-Enterp.rise,500,200,NA
1532,2024-04-02,Enterprise,500,200,NA
1533,NA,Pro,200,100,NA
1534,2024-09-24,Ent+erprise,500,NA,NA
1535,2024-10-10,PR)O,200,100 ,NA
NA,2024-09-05,Pro,200,NA,NA
1537 ,2025-06-27,#Enterprise,500,200,NA
1538,2024-08-26,pro,200,100,NA
1539,2025-03-11,Pro,NA,100,NA
1540,2024-10-16,P@ro,200,100,NA
1541,2024-11-25,Pro,NA,100,NA
1542,2024-06-16,Basic,50,NA,NA
1543,2024-02-12,#En(te-rprise,NA,NA,NA
1544,2024-11-02 ,Pro ,200,100,2025-04-28
1545,2024-11-16,Basic,50,30,NA
1546,2025-05-27,Pro,NA,100,NA
1547,2024-07-15,E$nterprise ,500,200,NA
1548,2024-01-01,Basic,50 ,NA,NA
1549,2024-04-24,PRO,200,100,NA
1550,2024-01-05,Basic,50,30,NA
1551,2024-02-24,Basic,50,30,NA
1552,2024-07-08,Enterprise,500,200,2025-03-12
1553,2024-01-17 ,Enterprise,500,200,NA
1554,2024-09-22,Pr_o,200,100,NA
1555,2025-03-29,Enterp$rise,500,200,NA
1556,2025-04-11,Enter.pr)ise,500,200,NA
1557,2025-03-12,Enterpr.ise ,500,200,2025-05-06
1558,2024-02-23,Enterprise ,500,200,2024-04-14
1559,NA,Pro,200,NA,NA
1560 ,2025-02-23,Pro,NA,100 ,NA
1561,NA,Enterprise ,NA,200,NA 
1562,2024-06-09,E+nterprise,500 ,200,NA
1563,2024-06-03,B$as@ic,50,30,NA
1564,2025-06-24,Enterprise,500,200,NA
1565,2024-03-30,Pro,200,100,2024-06-02
NA,2024-06-02,Basic,50,30 ,NA
1567,2025-05-09,NA,500 ,200,NA
1568,NA,Basic,50,30,NA
1569,2025-02-01 ,$Basic,50,30,NA
1570,2024-02-11,Enterpris*e,500,200,2025-03-17
1571,2025-01-04 ,En*terprise,500,200,NA
1572,2025-02-07,Pro,200,100,NA
1573,2024-07-07,Enterprise ,500,200,NA
1574,2024-10-17,En#terp!rise,500,NA,NA
1575,2024-07-06,Enterpris#e,500,200,NA
1576,2024-06-22,Pro,200,100,2025-03-31
1577,2025-04-22,.Basic,50,30,NA
1578,2024-12-01,Basic,50,30,NA
1579,2025-02-19,Basic,50,30,2025-05-13
1580,2024-05-27,Pro,200,100,NA
1581,2025-03-16,Basic,50,30,NA
1582,2025-05-02,Enterpri@se,500,200,NA
1583,2025-05-21,NA,50,30,NA
1584,2025-04-08,Enter.prise,500,200,NA
1585,2025-02-10,Pro,200,100,NA
